Plot Title: 10169174,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
171,3/22/2019 9:00,0.453,0,2.6,,,,,
172,3/22/2019 15:00,0.453,0,2.6,,,,,
173,3/22/2019 21:00,0.453,0,2.6,,,,,
174,3/23/2019 3:00,0.453,0,2.6,,,,,
175,3/23/2019 9:00,0.453,0,2.6,,,,,
176,3/23/2019 15:00,0.453,0,2.6,,,,,
177,3/23/2019 21:00,0.453,0,2.6,,,,,
178,3/24/2019 3:00,0.453,0,2.6,,,,,
179,3/24/2019 9:00,0.453,0,2.6,,,,,
180,3/24/2019 15:00,0.453,0,2.6,,,,,
181,3/24/2019 21:00,0.453,0,2.6,,,,,
182,3/25/2019 3:00,0.453,0,2.6,,,,,
183,3/25/2019 9:00,0.453,0,2.6,,,,,
184,3/25/2019 15:00,0.453,0,2.6,,,,,
185,3/25/2019 21:00,0.453,0,2.6,,,,,
186,3/26/2019 3:00,0.453,0,2.6,,,,,
187,3/26/2019 9:00,0.453,0,2.6,,,,,
188,3/26/2019 15:00,0.453,0,2.6,,,,,
189,3/26/2019 21:00,0.453,0,2.6,,,,,
190,3/27/2019 3:00,0.453,0,2.6,,,,,
191,3/27/2019 9:00,0.453,0,2.6,,,,,
192,3/27/2019 15:00,0.453,0,2.6,,,,,
193,3/27/2019 21:00,0.453,0,2.6,,,,,
194,3/28/2019 3:00,0.453,0,2.6,,,,,
195,3/28/2019 9:00,0.453,0,2.6,,,,,
196,3/28/2019 15:00,0.453,0,2.6,,,,,
197,3/28/2019 21:00,0.453,0,2.6,,,,,
198,3/29/2019 3:00,0.453,0,2.6,,,,,
199,3/29/2019 9:00,0.453,0,2.6,,,,,
200,3/29/2019 15:00,0.453,0,2.6,,,,,
201,3/29/2019 21:00,0.453,0,2.6,,,,,
202,3/30/2019 3:00,0.453,0,2.6,,,,,
203,3/30/2019 9:00,0.453,0,2.6,,,,,
204,3/30/2019 15:00,0.453,0,2.6,,,,,
205,3/30/2019 21:00,0.453,0,2.6,,,,,
206,3/31/2019 3:00,0.453,0,2.58,,,,,
207,3/31/2019 9:00,0.453,0,2.6,,,,,
208,3/31/2019 15:00,0.453,0,2.58,,,,,
209,3/31/2019 21:00,0.453,0,2.58,,,,,
210,4/1/2019 3:00,0.453,0,2.58,,,,,
211,4/1/2019 9:00,0.453,0,2.58,,,,,
212,4/1/2019 15:00,0.453,0,2.58,,,,,
213,4/1/2019 21:00,0.453,0,2.58,,,,,
214,4/2/2019 3:00,0.453,0,2.58,,,,,
215,4/2/2019 9:00,0.453,0,2.58,,,,,
216,4/2/2019 15:00,0.453,0,2.58,,,,,
217,4/2/2019 21:00,0.453,0,2.58,,,,,
218,4/3/2019 3:00,0.343,0,2.58,,,,,
219,4/3/2019 9:00,0.343,0,2.58,,,,,
220,4/3/2019 15:00,0.343,0,2.58,,,,,
221,4/3/2019 21:00,0.343,0,2.58,,,,,
222,4/4/2019 3:00,0.343,0,2.58,,,,,
223,4/4/2019 9:00,0.343,0,2.58,,,,,
224,4/4/2019 15:00,0.343,0,2.58,,,,,
225,4/4/2019 21:00,0.343,0,2.58,,,,,
226,4/5/2019 3:00,0.343,0,2.58,,,,,
227,4/5/2019 9:00,0.343,0,2.58,,,,,
228,4/5/2019 15:00,0.343,0,2.58,,,,,
229,4/5/2019 21:00,0.343,0,2.58,,,,,
230,4/6/2019 3:00,0.343,0,2.58,,,,,
231,4/6/2019 9:00,0.343,0,2.58,,,,,
232,4/6/2019 15:00,0.343,0,2.58,,,,,
233,4/6/2019 21:00,0.343,0,2.58,,,,,
234,4/7/2019 3:00,0.343,0,2.58,,,,,
235,4/7/2019 9:00,0.343,0,2.58,,,,,
236,4/7/2019 15:00,0.343,0,2.58,,,,,
237,4/7/2019 21:00,0.343,0,2.58,,,,,
238,4/8/2019 3:00,0.343,0,2.58,,,,,
239,4/8/2019 9:00,0.343,0,2.58,,,,,
240,4/8/2019 15:00,0.343,0,2.58,,,,,
241,4/8/2019 21:00,0.343,0,2.58,,,,,
242,4/9/2019 3:00,0.343,0,2.58,,,,,
243,4/9/2019 9:00,0.343,0,2.58,,,,,
244,4/9/2019 15:00,0.343,0,2.58,,,,,
245,4/9/2019 21:00,0.343,0,2.58,,,,,
246,4/10/2019 3:00,0.343,0,2.58,,,,,
247,4/10/2019 9:00,0.343,0,2.58,,,,,
248,4/10/2019 15:00,0.343,0,2.58,,,,,
249,4/10/2019 21:00,0.343,0,2.58,,,,,
250,4/11/2019 3:00,0.343,0,2.58,,,,,
251,4/11/2019 9:00,0.343,0,2.58,,,,,
252,4/11/2019 15:00,0.343,0,2.58,,,,,
253,4/11/2019 21:00,0.232,0,2.58,,,,,
