"Plot Title: 10169156"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Stopped","End Of File"
221,09/18/21 12:36:32 PM,7.782,193.8,2.77,,,,,
222,09/18/21 06:36:32 PM,6.877,0.0,2.77,,,,,
223,09/19/21 12:36:32 AM,5.450,0.0,2.75,,,,,
224,09/19/21 06:36:32 AM,4.831,0.0,2.75,,,,,
225,09/19/21 12:36:32 PM,6.268,505.9,2.75,,,,,
226,09/19/21 06:36:32 PM,6.775,0.0,2.75,,,,,
227,09/20/21 12:36:32 AM,6.471,0.0,2.75,,,,,
228,09/20/21 06:36:32 AM,4.831,0.0,2.74,,,,,
229,09/20/21 12:36:32 PM,9.965,5511.1,2.74,,,,,
230,09/20/21 06:36:32 PM,11.139,0.0,2.77,,,,,
231,09/21/21 12:36:32 AM,9.077,0.0,2.77,,,,,
232,09/21/21 06:36:32 AM,8.879,0.0,2.77,,,,,
233,09/21/21 12:36:32 PM,15.091,2755.6,2.79,,,,,
234,09/21/21 06:36:32 PM,14.900,0.0,2.81,,,,,
235,09/22/21 12:36:32 AM,12.787,0.0,2.79,,,,,
236,09/22/21 06:36:32 AM,11.236,10.8,2.79,,,,,
237,09/22/21 12:36:32 PM,12.497,3272.2,2.79,,,,,
238,09/22/21 06:36:32 PM,11.139,0.0,2.79,,,,,
239,09/23/21 12:36:32 AM,9.275,0.0,2.79,,,,,
240,09/23/21 06:36:32 AM,8.282,10.8,2.77,,,,,
241,09/23/21 12:36:32 PM,14.613,4305.6,2.81,,,,,
242,09/23/21 06:36:32 PM,14.517,0.0,2.81,,,,,
243,09/24/21 12:36:32 AM,12.013,0.0,2.79,,,,,
244,09/24/21 06:36:32 AM,11.722,0.0,2.79,,,,,
245,09/24/21 12:36:32 PM,17.475,6544.5,2.81,,,,,
246,09/24/21 06:36:32 PM,17.379,0.0,2.83,,,,,
247,09/25/21 12:36:32 AM,14.804,0.0,2.83,,,,,
248,09/25/21 06:36:32 AM,14.230,21.5,2.81,,,,,
249,09/25/21 12:36:32 PM,17.760,6200.0,2.81,,,,,
250,09/25/21 06:36:32 PM,15.091,0.0,2.81,,,,,
251,09/26/21 12:36:32 AM,12.497,0.0,2.81,,,,,
252,09/26/21 06:36:32 AM,10.944,0.0,2.79,,,,,
253,09/26/21 12:36:32 PM,15.282,5511.1,2.79,,,,,
254,09/26/21 06:36:32 PM,13.365,0.0,2.81,,,,,
255,09/27/21 12:36:32 AM,10.357,0.0,2.79,,,,,
256,09/27/21 06:36:32 AM,10.748,10.8,2.79,,,,,
257,09/27/21 12:36:32 PM,7.682,279.9,2.79,,,,,
258,09/27/21 06:36:32 PM,5.655,0.0,2.77,,,,,
259,09/28/21 12:36:32 AM,4.102,0.0,2.77,,,,,
260,09/28/21 06:36:32 AM,4.102,64.6,2.77,,,,,
261,09/28/21 12:36:32 PM,5.037,667.4,2.75,,,,,
262,09/28/21 06:36:32 PM,4.727,0.0,2.75,,,,,
263,09/29/21 12:36:32 AM,4.102,0.0,2.75,,,,,
264,09/29/21 06:36:32 AM,3.998,86.1,2.75,,,,,
265,09/29/21 12:36:32 PM,8.879,10677.8,2.75,,,,,
266,09/29/21 06:36:32 PM,8.581,0.0,2.77,,,,,
267,09/30/21 12:36:32 AM,8.779,0.0,2.77,,,,,
268,09/30/21 06:36:32 AM,9.077,0.0,2.77,,,,,
269,09/30/21 12:36:32 PM,12.980,8266.7,2.77,,,,,
270,09/30/21 06:36:32 PM,11.625,0.0,2.77,,,,,
271,10/01/21 12:36:32 AM,10.455,0.0,2.77,,,,,
272,10/01/21 06:36:32 AM,8.879,10.8,2.77,,,,,
273,10/01/21 12:36:32 PM,12.594,16533.4,2.77,,,,,
274,10/01/21 06:36:32 PM,11.528,0.0,2.79,,,,,
275,10/02/21 12:36:32 AM,9.866,0.0,2.77,,,,,
276,10/02/21 06:36:32 AM,9.866,10.8,2.77,,,,,
277,10/02/21 12:36:32 PM,14.709,10333.4,2.79,,,,,
278,10/02/21 06:36:32 PM,12.690,0.0,2.79,,,,,
279,10/03/21 12:36:32 AM,10.553,0.0,2.77,,,,,
280,10/03/21 06:36:32 AM,9.472,0.0,2.79,,,,,
281,10/03/21 12:36:32 PM,14.709,10677.8,2.79,,,,,
282,10/03/21 06:36:32 PM,12.787,0.0,2.79,,,,,
283,10/04/21 12:36:32 AM,11.334,0.0,2.79,,,,,
284,10/04/21 06:36:32 AM,11.528,75.3,2.79,,,,,
285,10/04/21 12:36:32 PM,14.134,1980.6,2.81,,,,,
286,10/04/21 06:36:32 PM,12.304,0.0,2.79,,,,,
287,10/05/21 12:36:32 AM,10.651,0.0,2.79,,,,,
288,10/05/21 06:36:32 AM,9.077,21.5,2.79,,,,,
289,10/05/21 12:36:32 PM,11.722,3616.7,2.79,,,,,
290,10/05/21 06:36:32 PM,5.962,0.0,2.77,,,,,
291,10/06/21 12:36:32 AM,3.367,0.0,2.75,,,,,
292,10/06/21 06:36:32 AM,2.195,10.8,2.75,,,,,
293,10/06/21 12:36:32 PM,5.347,1550.0,2.75,,,,,
294,10/06/21 06:36:32 PM,4.415,0.0,2.75,,,,,
295,10/07/21 12:36:32 AM,3.261,0.0,2.75,,,,,
296,10/07/21 06:36:32 AM,2.730,0.0,2.74,,,,,
297,10/07/21 12:36:32 PM,8.082,5338.9,2.75,,,,,
298,10/07/21 06:36:32 PM,7.079,0.0,2.75,,,,,
299,10/08/21 12:36:32 AM,4.415,0.0,2.75,,,,,
300,10/08/21 06:36:32 AM,3.472,21.5,2.75,,,,,
301,10/08/21 12:36:32 PM,6.064,1463.9,2.74,,,,,
302,10/08/21 06:36:32 PM,5.347,0.0,2.74,,,,,
303,10/09/21 12:36:32 AM,3.893,0.0,2.75,,,,,
304,10/09/21 06:36:32 AM,3.261,0.0,2.74,,,,,
305,10/09/21 12:36:32 PM,8.282,14466.8,2.74,,,,,
306,10/09/21 06:36:32 PM,7.179,0.0,2.75,,,,,
307,10/10/21 12:36:32 AM,6.370,0.0,2.75,,,,,
308,10/10/21 06:36:32 AM,5.757,0.0,2.74,,,,,
309,10/10/21 12:36:32 PM,4.934,1636.1,2.74,,,,,
310,10/10/21 06:36:32 PM,2.410,0.0,2.74,,,,,
311,10/11/21 12:36:32 AM,0.893,0.0,2.72,,,,,
312,10/11/21 06:36:32 AM,0.563,0.0,2.72,,,,,
313,10/11/21 12:36:32 PM,1.656,839.6,2.72,,,,,
314,10/11/21 06:36:32 PM,0.563,0.0,2.70,,,,,
315,10/12/21 12:36:32 AM,0.121,0.0,2.70,,,,,
316,10/12/21 06:36:32 AM,-0.102,10.8,2.70,,,,,
317,10/12/21 12:36:32 PM,0.784,2497.2,2.70,,,,,
318,10/12/21 06:36:32 PM,1.112,0.0,2.70,,,,,
319,10/13/21 12:36:32 AM,1.330,0.0,2.70,,,,,
320,10/13/21 06:36:32 AM,0.343,0.0,2.68,,,,,
321,10/13/21 12:36:32 PM,1.980,1141.0,2.70,,,,,
322,10/13/21 06:36:32 PM,1.764,0.0,2.70,,,,,
323,10/14/21 12:36:32 AM,2.088,0.0,2.70,,,,,
324,10/14/21 06:36:32 AM,2.195,0.0,2.70,,,,,
325,10/14/21 12:36:32 PM,4.415,387.5,2.72,,,,,
326,10/14/21 06:36:32 PM,4.727,0.0,2.72,,,,,
327,10/15/21 12:36:32 AM,4.623,0.0,2.72,,,,,
328,10/15/21 06:36:32 AM,4.519,0.0,2.72,,,,,
329,10/15/21 12:36:32 PM,9.176,2755.6,2.74,,,,,
330,10/15/21 06:36:32 PM,8.382,0.0,2.74,,,,,
331,10/16/21 12:36:32 AM,8.182,0.0,2.74,,,,,
332,10/16/21 06:36:32 AM,8.481,0.0,2.75,,,,,
333,10/16/21 12:36:32 PM,11.528,3272.2,2.75,,,,,
334,10/16/21 06:36:32 PM,10.553,0.0,2.75,,,,,
335,10/17/21 12:36:32 AM,8.680,0.0,2.75,,,,,
336,10/17/21 06:36:32 AM,7.983,0.0,2.75,,,,,
337,10/17/21 12:36:32 PM,7.983,1011.8,2.75,,,,,
338,10/17/21 06:36:32 PM,5.141,0.0,2.74,,,,,
339,10/18/21 12:36:32 AM,4.519,0.0,2.74,,,,,
340,10/18/21 06:36:32 AM,3.472,0.0,2.74,,,,,
341,10/18/21 12:36:32 PM,4.623,656.6,2.74,,,,,
342,10/18/21 06:36:32 PM,4.207,0.0,2.74,,,,,
343,10/19/21 12:36:32 AM,3.472,0.0,2.72,,,,,
344,10/19/21 06:36:32 AM,4.311,0.0,2.74,,,,,
345,10/19/21 12:36:32 PM,6.877,990.3,2.74,,,,,
346,10/19/21 06:36:32 PM,7.179,0.0,2.74,,,,,
347,10/20/21 12:36:32 AM,5.347,0.0,2.72,,,,,
348,10/20/21 06:36:32 AM,4.415,0.0,2.74,,,,,
349,10/20/21 12:36:32 PM,5.655,2152.8,2.72,,,,,
350,10/20/21 06:36:32 PM,5.141,0.0,2.72,,,,,
351,10/21/21 12:36:32 AM,5.757,0.0,2.72,,,,,
352,10/21/21 06:36:32 AM,6.268,0.0,2.74,,,,,
353,10/21/21 12:36:32 PM,10.259,914.9,2.74,,,,,
354,10/21/21 06:36:32 PM,9.472,0.0,2.75,,,,,
355,10/22/21 12:36:32 AM,5.347,0.0,2.74,,,,,
356,10/22/21 06:36:32 AM,4.415,0.0,2.74,,,,,
357,10/22/21 12:36:32 PM,4.727,43.1,2.74,,,,,
358,10/22/21 06:36:32 PM,4.207,0.0,2.74,,,,,
359,10/23/21 12:36:32 AM,3.788,0.0,2.74,,,,,
360,10/23/21 06:36:32 AM,3.893,0.0,2.74,,,,,
361,10/23/21 12:36:32 PM,5.552,409.0,2.72,,,,,
362,10/23/21 06:36:32 PM,5.552,0.0,2.72,,,,,
363,10/24/21 12:36:32 AM,4.934,0.0,2.72,,,,,
364,10/24/21 06:36:32 AM,5.347,0.0,2.72,,,,,
365,10/24/21 12:36:32 PM,5.141,183.0,2.72,,,,,
366,10/24/21 06:36:32 PM,2.730,0.0,2.72,,,,,
367,10/25/21 12:36:32 AM,2.410,0.0,2.72,,,,,
368,10/25/21 06:36:32 AM,2.410,0.0,2.72,,,,,
369,10/25/21 12:36:32 PM,3.472,247.6,2.72,,,,,
370,10/25/21 06:36:32 PM,3.049,0.0,2.72,,,,,
