"Plot Title: 10166272"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Good Battery","Bad Battery","Coupler Attached","Stopped","End Of File"
119,08/24/21 06:36:32 AM,9.571,96.9,2.77,,,,,
120,08/24/21 12:36:32 PM,20.710,5511.1,2.81,,,,,
121,08/24/21 06:36:32 PM,17.284,193.8,2.81,,,,,
122,08/25/21 12:36:32 AM,11.722,0.0,2.77,,,,,
123,08/25/21 06:36:32 AM,10.748,495.1,2.77,,,,,
124,08/25/21 12:36:32 PM,19.092,6200.0,2.81,,,,,
125,08/25/21 06:36:32 PM,15.569,86.1,2.79,,,,,
126,08/26/21 12:36:32 AM,12.207,0.0,2.77,,,,,
127,08/26/21 06:36:32 AM,10.063,118.4,2.75,,,,,
128,08/26/21 12:36:32 PM,16.903,1808.3,2.79,,,,,
129,08/26/21 06:36:32 PM,15.951,53.8,2.79,,,,,
130,08/27/21 12:36:32 AM,12.787,0.0,2.79,,,,,
131,08/27/21 06:36:32 AM,11.528,279.9,2.77,,,,,
132,08/27/21 12:36:32 PM,19.092,9300.1,2.81,,,,,
133,08/27/21 06:36:32 PM,15.855,53.8,2.79,,,,,
134,08/28/21 12:36:32 AM,11.431,0.0,2.77,,,,,
135,08/28/21 06:36:32 AM,10.846,32.3,2.77,,,,,
136,08/28/21 12:36:32 PM,23.677,17222.3,2.81,,,,,
137,08/28/21 06:36:32 PM,19.758,43.1,2.81,,,,,
138,08/29/21 12:36:32 AM,14.996,0.0,2.81,,,,,
139,08/29/21 06:36:32 AM,13.942,43.1,2.81,,,,,
140,08/29/21 12:36:32 PM,25.513,44089.2,2.81,,,,,
141,08/29/21 06:36:32 PM,19.662,43.1,2.81,,,,,
142,08/30/21 12:36:32 AM,13.750,0.0,2.81,,,,,
143,08/30/21 06:36:32 AM,11.041,183.0,2.77,,,,,
144,08/30/21 12:36:32 PM,21.855,93689.5,2.81,,,,,
145,08/30/21 06:36:32 PM,12.690,43.1,2.79,,,,,
146,08/31/21 12:36:32 AM,8.282,0.0,2.77,,,,,
147,08/31/21 06:36:32 AM,7.079,43.1,2.75,,,,,
148,08/31/21 12:36:32 PM,19.853,13089.0,2.79,,,,,
149,08/31/21 06:36:32 PM,12.980,32.3,2.79,,,,,
150,09/01/21 12:36:32 AM,8.382,0.0,2.75,,,,,
151,09/01/21 06:36:32 AM,7.079,32.3,2.75,,,,,
152,09/01/21 12:36:32 PM,21.473,6544.5,2.81,,,,,
153,09/01/21 06:36:32 PM,15.187,32.3,2.79,,,,,
154,09/02/21 12:36:32 AM,9.275,0.0,2.77,,,,,
155,09/02/21 06:36:32 AM,8.382,86.1,2.75,,,,,
156,09/02/21 12:36:32 PM,21.855,6200.0,2.81,,,,,
157,09/02/21 06:36:32 PM,16.808,21.5,2.79,,,,,
158,09/03/21 12:36:32 AM,11.819,0.0,2.77,,,,,
159,09/03/21 06:36:32 AM,12.013,129.2,2.77,,,,,
160,09/03/21 12:36:32 PM,23.484,5166.7,2.81,,,,,
161,09/03/21 06:36:32 PM,16.903,32.3,2.81,,,,,
