"Plot Title: 10169129"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Good Battery","Bad Battery","Coupler Attached","Coupler Detached","End Of File"
299,10/08/21 12:36:32 AM,4.415,0.0,2.77,,,,,
300,10/08/21 06:36:32 AM,3.472,10.8,2.77,,,,,
301,10/08/21 12:36:32 PM,6.268,818.1,2.77,,,,,
302,10/08/21 06:36:32 PM,5.347,0.0,2.75,,Logged,,,
303,10/09/21 12:36:32 AM,3.893,0.0,2.77,,,,,
304,10/09/21 06:36:32 AM,3.261,0.0,2.75,,,,,
305,10/09/21 12:36:32 PM,7.682,1011.8,2.77,,,,,
306,10/09/21 06:36:32 PM,7.079,0.0,2.77,,,,,
307,10/10/21 12:36:32 AM,6.370,0.0,2.77,,,,,
308,10/10/21 06:36:32 AM,5.860,0.0,2.77,,,,,
309,10/10/21 12:36:32 PM,4.727,742.7,2.77,,,,,
310,10/10/21 06:36:32 PM,2.410,0.0,2.75,,,,,
311,10/11/21 12:36:32 AM,0.674,0.0,2.74,,,,,
312,10/11/21 06:36:32 AM,0.563,0.0,2.74,,,,,
313,10/11/21 12:36:32 PM,1.548,462.9,2.74,,,,,
314,10/11/21 06:36:32 PM,1.003,0.0,2.74,,,,,
315,10/12/21 12:36:32 AM,0.121,0.0,2.72,,,,,
316,10/12/21 06:36:32 AM,-0.102,0.0,2.72,,,,,
317,10/12/21 12:36:32 PM,1.112,1216.3,2.74,,,,,
318,10/12/21 06:36:32 PM,1.656,0.0,2.74,,,,,
319,10/13/21 12:36:32 AM,1.764,0.0,2.74,,,,,
320,10/13/21 06:36:32 AM,0.453,0.0,2.72,,,,,
321,10/13/21 12:36:32 PM,2.303,699.7,2.74,,,,,
322,10/13/21 06:36:32 PM,1.980,0.0,2.74,,,,,
323,10/14/21 12:36:32 AM,2.303,0.0,2.74,,,,,
324,10/14/21 06:36:32 AM,2.303,0.0,2.74,,,,,
325,10/14/21 12:36:32 PM,4.623,290.6,2.75,,,,,
326,10/14/21 06:36:32 PM,4.727,0.0,2.75,,,,,
327,10/15/21 12:36:32 AM,4.727,0.0,2.75,,,,,
328,10/15/21 06:36:32 AM,4.519,0.0,2.75,,,,,
329,10/15/21 12:36:32 PM,8.680,990.3,2.77,,,,,
330,10/15/21 06:36:32 PM,8.282,0.0,2.77,,,,,
331,10/16/21 12:36:32 AM,8.282,0.0,2.77,,,,,
332,10/16/21 06:36:32 AM,8.680,0.0,2.79,,,,,
333,10/16/21 12:36:32 PM,11.916,968.8,2.79,,,,,
334,10/16/21 06:36:32 PM,10.553,0.0,2.79,,,,,
335,10/17/21 12:36:32 AM,8.879,0.0,2.79,,,,,
336,10/17/21 06:36:32 AM,8.182,0.0,2.79,,,,,
337,10/17/21 12:36:32 PM,8.182,710.4,2.79,,,,,
338,10/17/21 06:36:32 PM,5.037,0.0,2.75,,,,,
339,10/18/21 12:36:32 AM,4.623,0.0,2.77,,,,,
340,10/18/21 06:36:32 AM,3.578,0.0,2.77,,,,,
341,10/18/21 12:36:32 PM,4.727,387.5,2.77,,,,,
342,10/18/21 06:36:32 PM,4.207,0.0,2.77,,,,,
343,10/19/21 12:36:32 AM,3.578,0.0,2.75,,,,,
344,10/19/21 06:36:32 AM,4.415,0.0,2.77,,,,,
345,10/19/21 12:36:32 PM,6.877,678.1,2.77,,,,,
346,10/19/21 06:36:32 PM,7.179,0.0,2.77,,,,,
347,10/20/21 12:36:32 AM,5.450,0.0,2.75,,,,,
348,10/20/21 06:36:32 AM,4.415,0.0,2.77,,,,,
349,10/20/21 12:36:32 PM,5.655,1022.6,2.75,,,,,
350,10/20/21 06:36:32 PM,5.141,0.0,2.75,,,,,
351,10/21/21 12:36:32 AM,5.860,0.0,2.75,,,,,
352,10/21/21 06:36:32 AM,6.471,0.0,2.77,,,,,
353,10/21/21 12:36:32 PM,10.748,624.3,2.77,,,,,
