"Plot Title: 10169155"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Coupler Attached","Stopped","End Of File"
129,07/21/14 09:00:00 AM,13.750,3444.5,2.91,,,,
130,07/21/14 03:00:00 PM,16.237,2583.4,2.91,,,,
131,07/21/14 09:00:00 PM,13.173,0.0,2.91,,,,
132,07/22/14 03:00:00 AM,12.883,0.0,2.91,,,,
133,07/22/14 09:00:00 AM,13.461,2755.6,2.91,,,,
134,07/22/14 03:00:00 PM,18.901,5338.9,2.91,,,,
135,07/22/14 09:00:00 PM,11.819,0.0,2.91,,,,
136,07/23/14 03:00:00 AM,11.819,0.0,2.89,,,,
137,07/23/14 09:00:00 AM,7.983,904.2,2.89,,,,
138,07/23/14 03:00:00 PM,8.680,484.4,2.89,,,,
139,07/23/14 09:00:00 PM,6.268,0.0,2.87,,,,
140,07/24/14 03:00:00 AM,5.860,0.0,2.87,,,,
141,07/24/14 09:00:00 AM,6.370,2669.5,2.87,,,,
142,07/24/14 03:00:00 PM,10.944,3616.7,2.87,,,,
143,07/24/14 09:00:00 PM,8.481,0.0,2.89,,,,
144,07/25/14 03:00:00 AM,8.481,0.0,2.89,,,,
145,07/25/14 09:00:00 AM,11.041,2583.4,2.87,,,,
146,07/25/14 03:00:00 PM,18.045,5166.7,2.91,,,,
147,07/25/14 09:00:00 PM,12.497,0.0,2.89,,,,
148,07/26/14 03:00:00 AM,11.528,0.0,2.89,,,,
149,07/26/14 09:00:00 AM,14.804,2669.5,2.91,,,,
150,07/26/14 03:00:00 PM,21.664,5166.7,2.91,,,,
151,07/26/14 09:00:00 PM,15.664,0.0,2.91,,,,
152,07/27/14 03:00:00 AM,14.517,0.0,2.91,,,,
153,07/27/14 09:00:00 AM,18.140,2927.8,2.91,,,,
154,07/27/14 03:00:00 PM,22.333,6200.0,2.93,,,,
155,07/27/14 09:00:00 PM,18.616,0.0,2.93,,,,
156,07/28/14 03:00:00 AM,17.475,0.0,2.93,,,,
157,07/28/14 09:00:00 AM,19.758,2583.4,2.91,,,,
158,07/28/14 03:00:00 PM,26.977,5166.7,2.93,,,,
159,07/28/14 09:00:00 PM,20.138,0.0,2.93,,,,
160,07/29/14 03:00:00 AM,17.950,0.0,2.93,,,,
161,07/29/14 09:00:00 AM,19.567,4822.3,2.93,,,,
162,07/29/14 03:00:00 PM,26.097,5166.7,2.93,,,,
163,07/29/14 09:00:00 PM,18.711,0.0,2.93,,,,
164,07/30/14 03:00:00 AM,17.379,0.0,2.93,,,,
165,07/30/14 09:00:00 AM,19.377,2927.8,2.93,,,,
166,07/30/14 03:00:00 PM,27.272,5338.9,2.93,,,,
167,07/30/14 09:00:00 PM,20.234,0.0,2.93,,,,
168,07/31/14 03:00:00 AM,19.377,0.0,2.95,,,,
169,07/31/14 09:00:00 AM,21.951,2669.5,2.93,,,,
170,07/31/14 03:00:00 PM,27.173,4994.5,2.95,,,,
