"Plot Title: 10166321"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
168,07/31/14 09:00:00 AM,24.158,159823.3,2.95,,,,
169,07/31/14 03:00:00 PM,25.028,4133.4,2.95,,,,
170,07/31/14 09:00:00 PM,19.092,0.0,2.95,,,,
171,08/01/14 03:00:00 AM,16.523,0.0,2.93,,,,
172,08/01/14 09:00:00 AM,23.004,77156.1,2.95,,,,
173,08/01/14 03:00:00 PM,23.869,3272.2,2.95,,,,
174,08/01/14 09:00:00 PM,18.236,0.0,2.95,,,,
175,08/02/14 03:00:00 AM,15.951,0.0,2.93,,,,
176,08/02/14 09:00:00 AM,21.091,31689.1,2.93,,,,
177,08/02/14 03:00:00 PM,21.855,3100.0,2.95,,,,
178,08/02/14 09:00:00 PM,16.523,0.0,2.93,,,,
179,08/03/14 03:00:00 AM,15.187,0.0,2.93,,,,
180,08/03/14 09:00:00 AM,20.329,16533.4,2.93,,,,
181,08/03/14 03:00:00 PM,23.004,4822.3,2.95,,,,
182,08/03/14 09:00:00 PM,17.379,0.0,2.93,,,,
183,08/04/14 03:00:00 AM,15.760,0.0,2.93,,,,
184,08/04/14 09:00:00 AM,20.138,13777.9,2.93,,,,
185,08/04/14 03:00:00 PM,23.004,4477.8,2.95,,,,
186,08/04/14 09:00:00 PM,16.903,0.0,2.93,,,,
187,08/05/14 03:00:00 AM,15.187,0.0,2.91,,,,
188,08/05/14 09:00:00 AM,19.472,26178.0,2.93,,,,
189,08/05/14 03:00:00 PM,21.473,5511.1,2.93,,,,
190,08/05/14 09:00:00 PM,13.750,0.0,2.93,,,,
191,08/06/14 03:00:00 AM,12.110,0.0,2.91,,,,
192,08/06/14 09:00:00 AM,23.100,85422.8,2.93,,,,
193,08/06/14 03:00:00 PM,19.853,2669.5,2.93,,,,
194,08/06/14 09:00:00 PM,14.421,0.0,2.93,,,,
195,08/07/14 03:00:00 AM,12.594,0.0,2.91,,,,
196,08/07/14 09:00:00 AM,25.805,88178.4,2.93,,,,
197,08/07/14 03:00:00 PM,20.138,3444.5,2.93,,,,
198,08/07/14 09:00:00 PM,13.076,0.0,2.93,,,,
199,08/08/14 03:00:00 AM,11.431,0.0,2.91,,,,
200,08/08/14 09:00:00 AM,25.805,34444.7,2.91,,,,
201,08/08/14 03:00:00 PM,18.236,2755.6,2.93,,,,
202,08/08/14 09:00:00 PM,13.076,0.0,2.93,,,,
203,08/09/14 03:00:00 AM,11.431,0.0,2.91,,,,
204,08/09/14 09:00:00 AM,25.708,14466.8,2.91,,,,
205,08/09/14 03:00:00 PM,20.710,3788.9,2.93,,,,
206,08/09/14 09:00:00 PM,15.473,0.0,2.91,,,,
207,08/10/14 03:00:00 AM,15.473,0.0,2.91,,,,
208,08/10/14 09:00:00 AM,28.655,10333.4,2.93,,,,
209,08/10/14 03:00:00 PM,24.738,2152.8,2.95,,,,
210,08/10/14 09:00:00 PM,18.996,0.0,2.95,,,,
211,08/11/14 03:00:00 AM,16.999,0.0,2.93,,,,
212,08/11/14 09:00:00 AM,22.046,5511.1,2.93,,,,
213,08/11/14 03:00:00 PM,22.238,3272.2,2.95,,,,
214,08/11/14 09:00:00 PM,19.662,0.0,2.93,,,,
215,08/12/14 03:00:00 AM,17.094,0.0,2.93,,,,
216,08/12/14 09:00:00 AM,20.901,3100.0,2.93,,,,
217,08/12/14 03:00:00 PM,18.711,2325.0,2.93,,,,
218,08/12/14 09:00:00 PM,13.461,0.0,2.93,,,,
219,08/13/14 03:00:00 AM,12.304,0.0,2.91,,,,
220,08/13/14 09:00:00 AM,14.421,4822.3,2.93,,,,
221,08/13/14 03:00:00 PM,14.996,2927.8,2.93,,,,
222,08/13/14 09:00:00 PM,12.883,0.0,2.91,,,,
223,08/14/14 03:00:00 AM,12.401,0.0,2.91,,,,
224,08/14/14 09:00:00 AM,13.654,4477.8,2.91,,,,
225,08/14/14 03:00:00 PM,16.427,4305.6,2.91,,,,
226,08/14/14 09:00:00 PM,13.269,0.0,2.91,,,,
227,08/15/14 03:00:00 AM,11.528,0.0,2.91,,,,
228,08/15/14 09:00:00 AM,17.284,6200.0,2.91,,,,
229,08/15/14 03:00:00 PM,17.189,2325.0,2.93,,,,
230,08/15/14 09:00:00 PM,13.654,0.0,2.93,,,,
231,08/16/14 03:00:00 AM,12.690,0.0,2.91,,,,
232,08/16/14 09:00:00 AM,22.333,42711.4,2.93,,,,
233,08/16/14 03:00:00 PM,19.377,2583.4,2.93,,,,
234,08/16/14 09:00:00 PM,15.187,0.0,2.91,,,,
235,08/17/14 03:00:00 AM,13.846,0.0,2.93,,,,
236,08/17/14 09:00:00 AM,23.100,20666.8,2.93,,,,
237,08/17/14 03:00:00 PM,20.901,1033.3,2.93,,,,
238,08/17/14 09:00:00 PM,15.760,0.0,2.93,,,,
239,08/18/14 03:00:00 AM,14.421,0.0,2.93,,,,
240,08/18/14 09:00:00 AM,23.196,15844.5,2.93,,,,
241,08/18/14 03:00:00 PM,22.046,2411.1,2.93,,,,
242,08/18/14 09:00:00 PM,17.475,0.0,2.93,,,,
243,08/19/14 03:00:00 AM,15.855,0.0,2.93,,,,
244,08/19/14 09:00:00 AM,20.901,6544.5,2.93,,,,
245,08/19/14 03:00:00 PM,18.996,2497.2,2.95,,,,
246,08/19/14 09:00:00 PM,14.804,0.0,2.93,,,,
247,08/20/14 03:00:00 AM,13.942,0.0,2.93,,,,
248,08/20/14 09:00:00 AM,13.846,5338.9,2.93,,,,
249,08/20/14 03:00:00 PM,15.855,3616.7,2.91,,,,
250,08/20/14 09:00:00 PM,11.041,0.0,2.91,,,,
251,08/21/14 03:00:00 AM,9.176,0.0,2.91,,,,
252,08/21/14 09:00:00 AM,15.187,7233.4,2.91,,,,
253,08/21/14 03:00:00 PM,16.903,2497.2,2.93,,,,
254,08/21/14 09:00:00 PM,11.625,0.0,2.91,,,,
255,08/22/14 03:00:00 AM,9.866,0.0,2.89,,,,
256,08/22/14 09:00:00 AM,16.903,7233.4,2.91,,,,
257,08/22/14 03:00:00 PM,16.808,3788.9,2.93,,,,
258,08/22/14 09:00:00 PM,11.819,0.0,2.91,,,,
259,08/23/14 03:00:00 AM,10.748,0.0,2.91,,,,
260,08/23/14 09:00:00 AM,18.806,6544.5,2.93,,,,
261,08/23/14 03:00:00 PM,17.950,3272.2,2.93,,,,
262,08/23/14 09:00:00 PM,14.134,0.0,2.93,,,,
263,08/24/14 03:00:00 AM,12.110,0.0,2.91,,,,
264,08/24/14 09:00:00 AM,20.043,6200.0,2.91,,,,
265,08/24/14 03:00:00 PM,19.377,3616.7,2.95,,,,
266,08/24/14 09:00:00 PM,13.461,0.0,2.95,,,,
267,08/25/14 03:00:00 AM,11.722,0.0,2.93,,,,
268,08/25/14 09:00:00 AM,20.043,5511.1,2.93,,,,
269,08/25/14 03:00:00 PM,18.045,2066.7,2.95,,,,
270,08/25/14 09:00:00 PM,14.900,0.0,2.95,,,,
271,08/26/14 03:00:00 AM,13.365,0.0,2.93,,,,
272,08/26/14 09:00:00 AM,22.142,5511.1,2.93,,,,
273,08/26/14 03:00:00 PM,20.615,1980.6,2.95,,,,
274,08/26/14 09:00:00 PM,16.332,0.0,2.95,,,,
275,08/27/14 03:00:00 AM,15.091,0.0,2.93,,,,
