Plot Title: 10169139,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
114,10/4/2020 2:16,14.613,0,2.83,,,,,
115,10/4/2020 8:16,14.709,688.9,2.83,,,,,
116,10/4/2020 14:16,20.329,37200.2,2.81,,,,,
117,10/4/2020 20:16,14.038,0,2.83,,,,,
118,10/5/2020 2:16,13.173,0,2.81,,,,,
119,10/5/2020 8:16,14.9,667.4,2.83,,,,,
120,10/5/2020 14:16,22.142,20666.8,2.83,,,,,
121,10/5/2020 20:16,16.046,0,2.83,,,,,
122,10/6/2020 2:16,17.475,0,2.83,,,,,
123,10/6/2020 8:16,17.76,688.9,2.83,,,,,
124,10/6/2020 14:16,23.677,10333.4,2.85,,,,,
125,10/6/2020 20:16,17.284,0,2.83,,,,,
126,10/7/2020 2:16,16.523,0,2.83,,,,,
127,10/7/2020 8:16,16.237,1065.6,2.83,,,,,
128,10/7/2020 14:16,19.377,3616.7,2.83,,,,,
129,10/7/2020 20:16,14.804,0,2.83,,,,,
130,10/8/2020 2:16,13.846,0,2.83,,,,,
131,10/8/2020 8:16,12.883,678.1,2.81,,,,,
132,10/8/2020 14:16,17.855,4822.3,2.83,,,,,
133,10/8/2020 20:16,12.594,0,2.81,,,,,
134,10/9/2020 2:16,12.013,0,2.81,,,,,
135,10/9/2020 8:16,12.98,710.4,2.81,,,,,
136,10/9/2020 14:16,18.045,4133.4,2.83,,,,,
137,10/9/2020 20:16,11.916,0,2.81,,,,,
138,10/10/2020 2:16,8.779,0,2.79,,,,,
139,10/10/2020 8:16,6.674,43.1,2.77,,,,,
140,10/10/2020 14:16,4.934,161.5,2.75,,,,,
141,10/10/2020 20:16,3.998,0,2.75,,,,,
142,10/11/2020 2:16,3.788,0,2.75,,,,,
143,10/11/2020 8:16,3.893,236.8,2.74,,,,,
144,10/11/2020 14:16,5.552,236.8,2.74,,,,,
145,10/11/2020 20:16,7.381,0,2.75,,,,,
146,10/12/2020 2:16,8.481,0,2.75,,,,,
147,10/12/2020 8:16,5.962,430.6,2.74,,,,,
148,10/12/2020 14:16,8.581,4133.4,2.75,,,,,
149,10/12/2020 20:16,6.877,0,2.75,,,,,
150,10/13/2020 2:16,6.674,0,2.75,,,,,
151,10/13/2020 8:16,8.282,64.6,2.75,,,,,
152,10/13/2020 14:16,9.176,538.2,2.77,,,,,
153,10/13/2020 20:16,6.471,0,2.75,,,,,
154,10/14/2020 2:16,4.727,0,2.75,,,,,
155,10/14/2020 8:16,4.207,807.3,2.74,,,,,
156,10/14/2020 14:16,7.079,1033.3,2.75,,,,,
157,10/14/2020 20:16,4.934,0,2.74,,,,,
158,10/15/2020 2:16,3.472,0,2.74,,,,,
159,10/15/2020 8:16,3.261,635.1,2.74,,,,,
160,10/15/2020 14:16,9.866,2669.5,2.75,,,,,
161,10/15/2020 20:16,8.382,0,2.77,,,,,
162,10/16/2020 2:16,9.176,0,2.77,,,,,
163,10/16/2020 8:16,10.846,635.1,2.77,,,,,
164,10/16/2020 14:16,14.517,2755.6,2.81,,,,,
165,10/16/2020 20:16,10.063,0,2.77,,,,,
166,10/17/2020 2:16,8.978,0,2.77,,,,,
167,10/17/2020 8:16,9.176,850.4,2.79,,,,,
168,10/17/2020 14:16,11.819,2755.6,2.79,,,,,
169,10/17/2020 20:16,8.779,0,2.77,,,,,
170,10/18/2020 2:16,8.082,0,2.77,,,,,
171,10/18/2020 8:16,8.082,366,2.77,,,,,
172,10/18/2020 14:16,8.282,828.8,2.77,,,,,
173,10/18/2020 20:16,8.978,0,2.77,,,,,
174,10/19/2020 2:16,8.182,0,2.77,,,,,
175,10/19/2020 8:16,7.079,129.2,2.77,,,,,
176,10/19/2020 14:16,10.846,2669.5,2.77,,,,,
177,10/19/2020 20:16,7.28,0,2.77,,,,,
178,10/20/2020 2:16,6.064,0,2.75,,,,,
179,10/20/2020 8:16,7.179,645.8,2.75,,,,,
180,10/20/2020 14:16,10.944,4650,2.77,,,,,
181,10/20/2020 20:16,8.082,0,2.77,,,,,
182,10/21/2020 2:16,5.962,0,2.75,,,,,
183,10/21/2020 8:16,4.415,505.9,2.75,,,,,
184,10/21/2020 14:16,4.519,1722.2,2.75,,,,,
185,10/21/2020 20:16,1.003,0,2.72,,,,,
186,10/22/2020 2:16,0.01,0,2.72,,,,,
187,10/22/2020 8:16,-0.213,688.9,2.7,,,,,
188,10/22/2020 14:16,5.037,2755.6,2.74,,,,,
189,10/22/2020 20:16,1.548,0,2.72,,,,,
190,10/23/2020 2:16,2.088,0,2.72,,,,,
191,10/23/2020 8:16,3.261,656.6,2.74,,,,,
192,10/23/2020 14:16,5.86,602.8,2.74,,,,,
193,10/23/2020 20:16,5.757,0,2.74,,,,,
194,10/24/2020 2:16,6.674,0,2.75,,,,,
195,10/24/2020 8:16,3.578,322.9,2.74,,,,,
196,10/24/2020 14:16,3.893,958,2.74,,,,,
197,10/24/2020 20:16,-0.662,0,2.72,,,,,
198,10/25/2020 2:16,-3.553,0,2.68,,,,,
199,10/25/2020 8:16,-6.373,688.9,2.67,,,,,
