"Plot Title: 10169187"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10169187, SEN S/N: 10169187)","Intensity, Lux (LGR S/N: 10169187, SEN S/N: 10169187)","Batt, V (LGR S/N: 10169187, SEN S/N: 10169187)","Bad Battery (LGR S/N: 10169187)","End Of File (LGR S/N: 10169187)"
285,12/24/19 06:36:32 PM,-1.114,0.0,2.74,,
286,12/25/19 12:36:32 AM,-0.549,0.0,2.75,,
287,12/25/19 06:36:32 AM,-0.437,0.0,2.75,,
288,12/25/19 12:36:32 PM,0.010,958.0,2.74,,
289,12/25/19 06:36:32 PM,-0.549,0.0,2.75,,
290,12/26/19 12:36:32 AM,-0.887,0.0,2.75,,
291,12/26/19 06:36:32 AM,-1.228,0.0,2.74,,
292,12/26/19 12:36:32 PM,-0.213,1302.4,2.74,,
293,12/26/19 06:36:32 PM,-0.774,0.0,2.75,,
294,12/27/19 12:36:32 AM,-0.774,0.0,2.75,,
295,12/27/19 06:36:32 AM,-0.549,0.0,2.75,,
296,12/27/19 12:36:32 PM,-0.102,753.5,2.74,,
297,12/27/19 06:36:32 PM,-0.437,0.0,2.75,,
298,12/28/19 12:36:32 AM,-0.549,0.0,2.75,,
299,12/28/19 06:36:32 AM,0.121,0.0,2.74,,
300,12/28/19 12:36:32 PM,0.232,3100.0,2.74,,
301,12/28/19 06:36:32 PM,0.563,0.0,2.74,,
302,12/29/19 12:36:32 AM,0.784,0.0,2.74,,
303,12/29/19 06:36:32 AM,1.221,0.0,2.75,,
304,12/29/19 12:36:32 PM,2.303,871.9,2.75,,
305,12/29/19 06:36:32 PM,1.003,0.0,2.75,,
306,12/30/19 12:36:32 AM,0.893,0.0,2.75,,
307,12/30/19 06:36:32 AM,0.784,0.0,2.75,,
308,12/30/19 12:36:32 PM,1.548,1044.1,2.75,,
309,12/30/19 06:36:32 PM,1.003,0.0,2.75,,
310,12/31/19 12:36:32 AM,1.112,0.0,2.75,,
311,12/31/19 06:36:32 AM,1.548,0.0,2.75,,
312,12/31/19 12:36:32 PM,3.261,1980.6,2.77,,
313,12/31/19 06:36:32 PM,1.872,0.0,2.75,,
314,01/01/20 12:36:32 AM,3.893,0.0,2.77,,
315,01/01/20 06:36:32 AM,4.102,0.0,2.77,,
316,01/01/20 12:36:32 PM,2.837,861.1,2.77,,
317,01/01/20 06:36:32 PM,1.330,0.0,2.75,,
318,01/02/20 12:36:32 AM,0.121,0.0,2.75,,
319,01/02/20 06:36:32 AM,0.010,0.0,2.74,,
320,01/02/20 12:36:32 PM,0.232,1162.5,2.75,,
321,01/02/20 06:36:32 PM,0.453,0.0,2.75,,
322,01/03/20 12:36:32 AM,0.674,0.0,2.75,,
323,01/03/20 06:36:32 AM,1.221,0.0,2.75,,
324,01/03/20 12:36:32 PM,5.244,3100.0,2.77,,
325,01/03/20 06:36:32 PM,4.727,0.0,2.79,,
326,01/04/20 12:36:32 AM,1.764,0.0,2.77,,
327,01/04/20 06:36:32 AM,-0.325,0.0,2.75,,
328,01/04/20 12:36:32 PM,0.010,635.1,2.75,,
329,01/04/20 06:36:32 PM,-0.213,0.0,2.74,,
330,01/05/20 12:36:32 AM,-0.662,0.0,2.75,,
331,01/05/20 06:36:32 AM,-0.213,0.0,2.74,,
332,01/05/20 12:36:32 PM,0.010,172.2,2.74,,
333,01/05/20 06:36:32 PM,0.010,0.0,2.74,,
334,01/06/20 12:36:32 AM,0.010,0.0,2.74,,
335,01/06/20 06:36:32 AM,0.121,0.0,2.74,,
336,01/06/20 12:36:32 PM,0.121,10.8,2.74,,
337,01/06/20 06:36:32 PM,0.121,0.0,2.74,,
338,01/07/20 12:36:32 AM,0.121,0.0,2.74,,
339,01/07/20 06:36:32 AM,0.121,0.0,2.74,,
340,01/07/20 12:36:32 PM,0.121,43.1,2.74,,
341,01/07/20 06:36:32 PM,0.121,0.0,2.74,,
342,01/08/20 12:36:32 AM,0.121,0.0,2.74,,
343,01/08/20 06:36:32 AM,0.121,0.0,2.74,,
344,01/08/20 12:36:32 PM,0.232,21.5,2.74,,
345,01/08/20 06:36:32 PM,0.232,0.0,2.74,,
346,01/09/20 12:36:32 AM,0.232,0.0,2.74,,
347,01/09/20 06:36:32 AM,0.232,0.0,2.74,,
348,01/09/20 12:36:32 PM,0.232,32.3,2.74,,
349,01/09/20 06:36:32 PM,0.232,0.0,2.74,,
350,01/10/20 12:36:32 AM,0.232,0.0,2.74,,
351,01/10/20 06:36:32 AM,0.232,0.0,2.74,,
352,01/10/20 12:36:32 PM,0.232,0.0,2.74,,
353,01/10/20 06:36:32 PM,0.232,0.0,2.74,,
354,01/11/20 12:36:32 AM,0.232,0.0,2.74,,
355,01/11/20 06:36:32 AM,0.232,0.0,2.74,,
356,01/11/20 12:36:32 PM,0.232,0.0,2.74,,
357,01/11/20 06:36:32 PM,0.232,0.0,2.74,,
358,01/12/20 12:36:32 AM,0.232,0.0,2.74,,
359,01/12/20 06:36:32 AM,0.232,0.0,2.74,,
360,01/12/20 12:36:32 PM,0.232,0.0,2.74,,
361,01/12/20 06:36:32 PM,0.232,0.0,2.74,,
362,01/13/20 12:36:32 AM,0.232,0.0,2.74,,
363,01/13/20 06:36:32 AM,0.232,0.0,2.74,,
364,01/13/20 12:36:32 PM,0.232,0.0,2.74,,
365,01/13/20 06:36:32 PM,0.232,0.0,2.74,,
366,01/14/20 12:36:32 AM,0.232,0.0,2.74,,
367,01/14/20 06:36:32 AM,0.232,0.0,2.74,,
368,01/14/20 12:36:32 PM,0.232,0.0,2.74,,
369,01/14/20 06:36:32 PM,0.232,0.0,2.74,,
370,01/15/20 12:36:32 AM,0.232,0.0,2.74,,
371,01/15/20 06:36:32 AM,0.232,0.0,2.74,,
372,01/15/20 12:36:32 PM,0.232,0.0,2.74,,
373,01/15/20 06:36:32 PM,0.232,0.0,2.74,,
374,01/16/20 12:36:32 AM,0.232,0.0,2.74,,
375,01/16/20 06:36:32 AM,0.232,0.0,2.74,,
376,01/16/20 12:36:32 PM,0.232,0.0,2.74,,
377,01/16/20 06:36:32 PM,0.232,0.0,2.74,,
378,01/17/20 12:36:32 AM,0.232,0.0,2.74,,
379,01/17/20 06:36:32 AM,0.232,0.0,2.74,,
380,01/17/20 12:36:32 PM,0.232,0.0,2.74,,
381,01/17/20 06:36:32 PM,0.232,0.0,2.74,,
382,01/18/20 12:36:32 AM,0.232,0.0,2.74,,
383,01/18/20 06:36:32 AM,0.232,0.0,2.74,,
384,01/18/20 12:36:32 PM,0.232,0.0,2.74,,
385,01/18/20 06:36:32 PM,0.232,0.0,2.74,,
386,01/19/20 12:36:32 AM,0.121,0.0,2.74,,
387,01/19/20 06:36:32 AM,0.121,0.0,2.74,,
388,01/19/20 12:36:32 PM,0.121,0.0,2.74,,
389,01/19/20 06:36:32 PM,0.121,0.0,2.74,,
390,01/20/20 12:36:32 AM,0.121,0.0,2.74,,
391,01/20/20 06:36:32 AM,0.121,0.0,2.74,,
392,01/20/20 12:36:32 PM,0.121,0.0,2.74,,
393,01/20/20 06:36:32 PM,0.121,0.0,2.74,,
394,01/21/20 12:36:32 AM,0.121,0.0,2.74,,
395,01/21/20 06:36:32 AM,0.121,0.0,2.74,,
396,01/21/20 12:36:32 PM,0.121,0.0,2.74,,
397,01/21/20 06:36:32 PM,0.121,0.0,2.74,,
398,01/22/20 12:36:32 AM,0.121,0.0,2.74,,
399,01/22/20 06:36:32 AM,0.121,0.0,2.74,,
400,01/22/20 12:36:32 PM,0.121,0.0,2.74,,
401,01/22/20 06:36:32 PM,0.121,0.0,2.74,,
402,01/23/20 12:36:32 AM,0.121,0.0,2.74,,
403,01/23/20 06:36:32 AM,0.121,0.0,2.74,,
404,01/23/20 12:36:32 PM,0.121,0.0,2.74,,
405,01/23/20 06:36:32 PM,0.121,0.0,2.74,,
406,01/24/20 12:36:32 AM,0.121,0.0,2.74,,
407,01/24/20 06:36:32 AM,0.121,0.0,2.74,,
408,01/24/20 12:36:32 PM,0.121,0.0,2.74,,
409,01/24/20 06:36:32 PM,0.121,0.0,2.74,,
410,01/25/20 12:36:32 AM,0.121,0.0,2.74,,
411,01/25/20 06:36:32 AM,0.121,0.0,2.74,,
412,01/25/20 12:36:32 PM,0.121,0.0,2.74,,
413,01/25/20 06:36:32 PM,0.121,0.0,2.74,,
414,01/26/20 12:36:32 AM,0.121,0.0,2.74,,
415,01/26/20 06:36:32 AM,0.121,0.0,2.74,,
416,01/26/20 12:36:32 PM,0.121,0.0,2.74,,
417,01/26/20 06:36:32 PM,0.121,0.0,2.74,,
418,01/27/20 12:36:32 AM,0.121,0.0,2.74,,
419,01/27/20 06:36:32 AM,0.121,0.0,2.74,,
420,01/27/20 12:36:32 PM,0.121,0.0,2.74,,
421,01/27/20 06:36:32 PM,0.121,0.0,2.74,,
422,01/28/20 12:36:32 AM,0.121,0.0,2.74,,
423,01/28/20 06:36:32 AM,0.121,0.0,2.74,,
424,01/28/20 12:36:32 PM,0.121,0.0,2.74,,
425,01/28/20 06:36:32 PM,0.121,0.0,2.74,,
426,01/29/20 12:36:32 AM,0.121,0.0,2.74,,
427,01/29/20 06:36:32 AM,0.121,0.0,2.74,,
428,01/29/20 12:36:32 PM,0.121,0.0,2.74,,
429,01/29/20 06:36:32 PM,0.121,0.0,2.74,,
430,01/30/20 12:36:32 AM,0.121,0.0,2.74,,
431,01/30/20 06:36:32 AM,0.121,0.0,2.74,,
432,01/30/20 12:36:32 PM,0.121,0.0,2.74,,
