"Plot Title: 10169186"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Good Battery","End Of File"
126,07/31/12 03:00:00 AM,11.722,0.0,2.91,,,
127,07/31/12 09:00:00 AM,14.613,4305.6,2.93,,,
128,07/31/12 03:00:00 PM,20.615,4822.3,2.91,,,
129,07/31/12 09:00:00 PM,13.846,0.0,2.93,,,
130,08/01/12 03:00:00 AM,11.722,0.0,2.91,,,
131,08/01/12 09:00:00 AM,14.996,4133.4,2.93,,,
132,08/01/12 03:00:00 PM,20.996,4822.3,2.91,,,
133,08/01/12 09:00:00 PM,14.325,0.0,2.93,,,
134,08/02/12 03:00:00 AM,12.013,0.0,2.91,,,
135,08/02/12 09:00:00 AM,14.996,3788.9,2.93,,,
136,08/02/12 03:00:00 PM,20.996,4994.5,2.93,,,
137,08/02/12 09:00:00 PM,13.942,0.0,2.93,,,
138,08/03/12 03:00:00 AM,12.594,0.0,2.93,,,
139,08/03/12 09:00:00 AM,18.236,4133.4,2.93,,,
140,08/03/12 03:00:00 PM,24.641,4822.3,2.93,,,
141,08/03/12 09:00:00 PM,18.616,0.0,2.95,,,
142,08/04/12 03:00:00 AM,16.999,0.0,2.93,,,
143,08/04/12 09:00:00 AM,21.855,3788.9,2.93,,,
144,08/04/12 03:00:00 PM,29.152,4822.3,2.95,,,
145,08/04/12 09:00:00 PM,22.717,0.0,2.95,,,
146,08/05/12 03:00:00 AM,20.996,0.0,2.93,,,
147,08/05/12 09:00:00 AM,21.187,5338.9,2.93,,,
148,08/05/12 03:00:00 PM,23.388,2755.6,2.95,,,
149,08/05/12 09:00:00 PM,16.046,0.0,2.93,,,
150,08/06/12 03:00:00 AM,18.236,0.0,2.95,,,
151,08/06/12 09:00:00 AM,21.760,3788.9,2.93,,,
152,08/06/12 03:00:00 PM,26.390,4822.3,2.93,,,
153,08/06/12 09:00:00 PM,17.950,0.0,2.95,,,
154,08/07/12 03:00:00 AM,16.046,0.0,2.93,,,
155,08/07/12 09:00:00 AM,19.377,3444.5,2.95,,,
156,08/07/12 03:00:00 PM,23.773,4650.0,2.95,,,
157,08/07/12 09:00:00 PM,16.618,0.0,2.93,,,
158,08/08/12 03:00:00 AM,13.942,0.0,2.93,,,
159,08/08/12 09:00:00 AM,16.523,7577.8,2.93,,,
160,08/08/12 03:00:00 PM,21.378,4650.0,2.93,,,
161,08/08/12 09:00:00 PM,14.900,0.0,2.95,,,
162,08/09/12 03:00:00 AM,13.269,0.0,2.93,,,
163,08/09/12 09:00:00 AM,17.284,2755.6,2.93,,,
164,08/09/12 03:00:00 PM,21.187,4650.0,2.93,,,
165,08/09/12 09:00:00 PM,14.517,0.0,2.93,,,
166,08/10/12 03:00:00 AM,12.883,0.0,2.93,,,
167,08/10/12 09:00:00 AM,15.473,4305.6,2.91,,,
168,08/10/12 03:00:00 PM,20.710,4650.0,2.91,,,
169,08/10/12 09:00:00 PM,15.187,0.0,2.91,,,
170,08/11/12 03:00:00 AM,13.076,0.0,2.93,,,
171,08/11/12 09:00:00 AM,20.043,4133.4,2.91,,,
172,08/11/12 03:00:00 PM,26.585,4650.0,2.93,,,
173,08/11/12 09:00:00 PM,20.615,0.0,2.93,,,
174,08/12/12 03:00:00 AM,19.567,0.0,2.95,,,
175,08/12/12 09:00:00 AM,23.773,3788.9,2.93,,,
176,08/12/12 03:00:00 PM,28.754,4650.0,2.95,,,
177,08/12/12 09:00:00 PM,20.805,0.0,2.93,,,
178,08/13/12 03:00:00 AM,18.616,0.0,2.95,,,
179,08/13/12 09:00:00 AM,21.855,3616.7,2.93,,,
180,08/13/12 03:00:00 PM,27.173,4305.6,2.95,,,
181,08/13/12 09:00:00 PM,19.853,0.0,2.93,,,
182,08/14/12 03:00:00 AM,17.475,0.0,2.95,,,
183,08/14/12 09:00:00 AM,21.187,3788.9,2.93,,,
184,08/14/12 03:00:00 PM,26.390,4477.8,2.93,,,
185,08/14/12 09:00:00 PM,19.948,0.0,2.93,,,
186,08/15/12 03:00:00 AM,18.331,0.0,2.95,,,
187,08/15/12 09:00:00 AM,22.812,3272.2,2.93,,,
188,08/15/12 03:00:00 PM,28.555,4133.4,2.95,,,
189,08/15/12 09:00:00 PM,20.996,0.0,2.95,,,
190,08/16/12 03:00:00 AM,18.806,0.0,2.95,,,
191,08/16/12 09:00:00 AM,22.908,3616.7,2.95,,,
192,08/16/12 03:00:00 PM,27.075,4994.5,2.95,,,
193,08/16/12 09:00:00 PM,21.664,0.0,2.95,,,
194,08/17/12 03:00:00 AM,20.615,0.0,2.93,,,
