Plot Title: 10166293,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
240,9/12/2015 15:00,25.319,480,2.89,,,,
241,9/12/2015 21:00,17.284,0,2.89,,,,
242,9/13/2015 3:00,14.996,0,2.89,,,,
243,9/13/2015 9:00,15.378,176,2.87,,,,
244,9/13/2015 15:00,19.662,480,2.89,,,,
245,9/13/2015 21:00,12.207,0,2.87,,,,
246,9/14/2015 3:00,10.259,0,2.87,,,,
247,9/14/2015 9:00,9.472,256,2.87,,,,
248,9/14/2015 15:00,10.846,128,2.87,,,,
249,9/14/2015 21:00,6.166,0,2.87,,,,
250,9/15/2015 3:00,4.519,0,2.87,,,,
251,9/15/2015 9:00,5.655,208,2.87,,,,
252,9/15/2015 15:00,7.481,384,2.87,,,,
253,9/15/2015 21:00,5.655,0,2.85,,,,
254,9/16/2015 3:00,4.623,0,2.87,,,,
255,9/16/2015 9:00,6.471,105,2.87,,,,
256,9/16/2015 15:00,7.782,53,2.87,,,,
257,9/16/2015 21:00,6.674,0,2.87,,,,
258,9/17/2015 3:00,5.655,0,2.85,,,,
259,9/17/2015 9:00,6.37,50,2.85,,,,
260,9/17/2015 15:00,7.481,32,2.87,,,,
261,9/17/2015 21:00,7.381,0,2.87,,,,
262,9/18/2015 3:00,6.268,0,2.85,,,,
263,9/18/2015 9:00,7.682,184,2.87,,,,
264,9/18/2015 15:00,13.654,448,2.87,,,,
265,9/18/2015 21:00,10.063,0,2.85,,,,
266,9/19/2015 3:00,9.176,0,2.87,,,,
267,9/19/2015 9:00,10.846,184,2.85,,,,
268,9/19/2015 15:00,16.808,432,2.87,,,,
269,9/19/2015 21:00,12.69,0,2.85,,,,
270,9/20/2015 3:00,12.497,0,2.85,,,,
271,9/20/2015 9:00,13.365,184,2.87,,,,
272,9/20/2015 15:00,17.95,480,2.87,,,,
273,9/20/2015 21:00,13.365,0,2.87,,,,
274,9/21/2015 3:00,11.916,0,2.85,,,,
275,9/21/2015 9:00,11.528,168,2.85,,,,
276,9/21/2015 15:00,17.284,448,2.87,,,,
277,9/21/2015 21:00,11.528,0,2.85,,,,
278,9/22/2015 3:00,10.357,0,2.85,,,,
279,9/22/2015 9:00,9.373,208,2.87,,,,
280,9/22/2015 15:00,14.9,416,2.87,,,,
281,9/22/2015 21:00,10.161,0,2.85,,,,
282,9/23/2015 3:00,8.978,0,2.87,,,,
