Plot Title: 10166287,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Good Battery,Coupler Attached,Stopped,End Of File
252,9/14/2015 15:00,18.045,1152,2.93,,,,,
253,9/14/2015 21:00,4.831,0,2.87,,,,,
254,9/15/2015 3:00,3.049,0,2.87,,,,,
255,9/15/2015 9:00,14.421,2432,2.89,,,,,
256,9/15/2015 15:00,17.094,2304,2.89,,,,,
257,9/15/2015 21:00,6.268,0,2.87,,,,,
258,9/16/2015 3:00,6.573,0,2.85,,,,,
259,9/16/2015 9:00,12.013,1088,2.87,,,,,
260,9/16/2015 15:00,14.23,464,2.89,,,,,
261,9/16/2015 21:00,8.082,0,2.87,,,,,
262,9/17/2015 3:00,7.481,0,2.85,,,,,
263,9/17/2015 9:00,10.944,608,2.85,,,,,
264,9/17/2015 15:00,15.187,864,2.85,,,,,
265,9/17/2015 21:00,9.669,0,2.85,,,,,
266,9/18/2015 3:00,4.102,0,2.83,,,,,
267,9/18/2015 9:00,11.528,1472,2.85,,,,,
268,9/18/2015 15:00,18.331,960,2.91,,,,,
269,9/18/2015 21:00,7.882,0,2.87,,,,,
270,9/19/2015 3:00,4.934,0,2.85,,,,,
271,9/19/2015 9:00,6.573,496,2.85,,,,,
272,9/19/2015 15:00,21.664,960,2.93,,,,,
273,9/19/2015 21:00,9.571,0,2.89,,,,,
274,9/20/2015 3:00,6.978,0,2.87,,,,,
275,9/20/2015 9:00,8.68,480,2.87,,,,,
276,9/20/2015 15:00,22.908,896,2.95,,,,,
277,9/20/2015 21:00,10.357,0,2.89,,,,,
278,9/21/2015 3:00,12.594,0,2.89,,,,,
279,9/21/2015 9:00,16.999,1152,2.91,,,,,
280,9/21/2015 15:00,22.333,960,2.95,,,,,
281,9/21/2015 21:00,10.161,0,2.89,,,,,
282,9/22/2015 3:00,11.431,0,2.89,,,,,
283,9/22/2015 9:00,11.431,1664,2.89,,,,,
284,9/22/2015 15:00,20.615,992,2.93,,,,,
285,9/22/2015 21:00,6.877,0,2.87,,,,,
286,9/23/2015 3:00,3.155,0,2.87,,,,,
287,9/23/2015 9:00,5.347,768,2.85,,,,,
288,9/23/2015 15:00,20.615,896,2.93,,,,,
289,9/23/2015 21:00,7.179,0,2.89,,,,,
290,9/24/2015 3:00,5.757,0,2.87,,,,,
291,9/24/2015 9:00,14.996,1408,2.91,,,,,
292,9/24/2015 15:00,22.142,800,2.95,,,,,
293,9/24/2015 21:00,8.481,0,2.89,,,,,
294,9/25/2015 3:00,6.064,0,2.87,,,,,
295,9/25/2015 9:00,8.779,248,2.89,,,,,
296,9/25/2015 15:00,23.677,1280,2.95,,,,,
297,9/25/2015 21:00,8.481,0,2.89,,,,,
298,9/26/2015 3:00,10.846,0,2.89,,,,,
299,9/26/2015 9:00,13.75,480,2.91,,,,,
300,9/26/2015 15:00,19.472,1536,2.93,,,,,
301,9/26/2015 21:00,6.268,0,2.87,,,,,
302,9/27/2015 3:00,0.674,0,2.83,,,,,
303,9/27/2015 9:00,2.303,184,2.85,,,,,
304,9/27/2015 15:00,18.806,800,2.93,,,,,
305,9/27/2015 21:00,8.182,0,2.89,,,,,
306,9/28/2015 3:00,7.682,0,2.87,,,,,
307,9/28/2015 9:00,9.176,576,2.87,,,,,
308,9/28/2015 15:00,24.448,896,2.97,,,,,
309,9/28/2015 21:00,7.983,0,2.89,,,,,
310,9/29/2015 3:00,5.757,0,2.87,,,,,
311,9/29/2015 9:00,7.481,216,2.87,,,,,
312,9/29/2015 15:00,24.351,896,2.97,,,,,
313,9/29/2015 21:00,6.775,0,2.89,,,,,
314,9/30/2015 3:00,3.998,0,2.89,,,,,
315,9/30/2015 9:00,6.268,192,2.87,,,,,
316,9/30/2015 15:00,21.473,960,2.95,,,,,
317,9/30/2015 21:00,6.064,0,2.87,,,,,
318,10/1/2015 3:00,4.934,0,2.87,,,,,
319,10/1/2015 9:00,9.275,224,2.89,,,,,
320,10/1/2015 15:00,21.091,960,2.93,,,,,
321,10/1/2015 21:00,5.86,0,2.87,,,,,
322,10/2/2015 3:00,3.261,0,2.87,,,,,
323,10/2/2015 9:00,9.373,960,2.87,,,,,
324,10/2/2015 15:00,21.664,2176,2.93,,,,,
325,10/2/2015 21:00,9.275,0,2.89,,,,,
326,10/3/2015 3:00,7.582,0,2.87,,,,,
327,10/3/2015 9:00,8.082,896,2.87,,,,,
328,10/3/2015 15:00,14.613,3200,2.89,,,,,
329,10/3/2015 21:00,8.282,0,2.87,,,,,
330,10/4/2015 3:00,6.674,0,2.85,,,,,
331,10/4/2015 9:00,7.882,208,2.87,,,,,
332,10/4/2015 15:00,21.855,2048,2.93,,,,,
333,10/4/2015 21:00,9.275,0,2.89,,,,,
