Plot Title: 20400438,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Detached,End Of File
229,10/12/2018 15:00,11.528,110,,
230,10/12/2018 21:00,8.082,0,,
231,10/13/2018 3:00,6.268,0,,
232,10/13/2018 9:00,4.415,37,,
233,10/13/2018 15:00,7.882,126,,
234,10/13/2018 21:00,4.934,0,,
235,10/14/2018 3:00,3.683,0,,
236,10/14/2018 9:00,2.195,41,,
237,10/14/2018 15:00,7.179,120,,
238,10/14/2018 21:00,4.623,0,,
239,10/15/2018 3:00,3.893,0,,
240,10/15/2018 9:00,6.268,36,,
241,10/15/2018 15:00,12.98,160,,
242,10/15/2018 21:00,10.455,0,,
243,10/16/2018 3:00,8.978,0,,
244,10/16/2018 9:00,9.275,34,,
245,10/16/2018 15:00,13.654,168,,
246,10/16/2018 21:00,9.965,0,,
247,10/17/2018 3:00,9.275,0,,
248,10/17/2018 9:00,9.472,35,,
249,10/17/2018 15:00,14.325,112,,
250,10/17/2018 21:00,11.528,0,,
251,10/18/2018 3:00,10.846,0,,
252,10/18/2018 9:00,9.965,36,,
253,10/18/2018 15:00,13.558,128,,
254,10/18/2018 21:00,11.236,0,,
255,10/19/2018 3:00,12.11,0,,
256,10/19/2018 9:00,11.625,35,,
257,10/19/2018 15:00,16.237,124,,
258,10/19/2018 21:00,13.75,0,,
259,10/20/2018 3:00,12.883,0,,
260,10/20/2018 9:00,12.883,32,,
261,10/20/2018 15:00,17.284,160,,
262,10/20/2018 21:00,14.709,0,,
263,10/21/2018 3:00,14.23,0,,
264,10/21/2018 9:00,12.207,34,,
265,10/21/2018 15:00,14.613,144,,
266,10/21/2018 21:00,11.528,0,,
267,10/22/2018 3:00,11.041,0,,
268,10/22/2018 9:00,11.528,65,,
269,10/22/2018 15:00,14.613,160,,
270,10/22/2018 21:00,11.916,0,,
271,10/23/2018 3:00,9.669,0,,
272,10/23/2018 9:00,10.553,128,,
273,10/23/2018 15:00,9.077,168,,
274,10/23/2018 21:00,5.655,0,,
275,10/24/2018 3:00,5.347,0,,
276,10/24/2018 9:00,6.978,160,,
277,10/24/2018 15:00,10.259,304,,
278,10/24/2018 21:00,5.45,0,,
279,10/25/2018 3:00,6.166,0,,
280,10/25/2018 9:00,8.082,94,,
281,10/25/2018 15:00,11.236,117,,
282,10/25/2018 21:00,9.176,0,,
283,10/26/2018 3:00,9.176,0,,
284,10/26/2018 9:00,9.669,47,,
285,10/26/2018 15:00,10.161,168,,
286,10/26/2018 21:00,8.082,0,,
287,10/27/2018 3:00,5.86,0,,
288,10/27/2018 9:00,8.082,77,,
289,10/27/2018 15:00,11.334,184,,
290,10/27/2018 21:00,10.357,0,,
291,10/28/2018 3:00,5.962,0,,
292,10/28/2018 9:00,3.893,17,,
293,10/28/2018 15:00,3.998,136,,
294,10/28/2018 21:00,3.049,0,,
295,10/29/2018 3:00,0.343,0,,
296,10/29/2018 9:00,0.453,96,,
297,10/29/2018 15:00,0.893,152,,
298,10/29/2018 21:00,1.439,0,,
299,10/30/2018 3:00,1.221,0,,
300,10/30/2018 9:00,0.674,86,,
301,10/30/2018 15:00,3.578,184,,
302,10/30/2018 21:00,3.893,0,,
303,10/31/2018 3:00,2.624,0,,
304,10/31/2018 9:00,4.311,25,,
305,10/31/2018 15:00,6.573,62,,
306,10/31/2018 21:00,7.381,0,,
307,11/1/2018 3:00,8.182,0,,
308,11/1/2018 9:00,8.581,38,,
309,11/1/2018 15:00,10.357,192,,
310,11/1/2018 21:00,9.472,0,,
311,11/2/2018 3:00,7.28,0,,
312,11/2/2018 9:00,7.079,16,,
313,11/2/2018 15:00,7.682,70,,
314,11/2/2018 21:00,4.102,0,,
315,11/3/2018 3:00,3.683,0,,
316,11/3/2018 9:00,4.102,108,,
317,11/3/2018 15:00,6.877,256,,
318,11/3/2018 21:00,4.102,0,,
319,11/4/2018 3:00,5.037,0,,
320,11/4/2018 9:00,4.311,20,,
321,11/4/2018 15:00,6.775,496,,
322,11/4/2018 21:00,3.049,0,,
323,11/5/2018 3:00,2.73,0,,
324,11/5/2018 9:00,2.303,25,,
325,11/5/2018 15:00,3.683,127,,
326,11/5/2018 21:00,2.624,0,,
327,11/6/2018 3:00,1.764,0,,
328,11/6/2018 9:00,1.33,46,,
329,11/6/2018 15:00,2.624,114,,
330,11/6/2018 21:00,0.343,0,,
331,11/7/2018 3:00,-0.325,0,,
332,11/7/2018 9:00,-0.774,20,,
333,11/7/2018 15:00,0.563,87,,
334,11/7/2018 21:00,-0.325,0,,
335,11/8/2018 3:00,-0.887,0,,
336,11/8/2018 9:00,-0.887,26,,
337,11/8/2018 15:00,1.548,96,,
338,11/8/2018 21:00,1.003,0,,
339,11/9/2018 3:00,0.674,0,,
340,11/9/2018 9:00,2.088,41,,
341,11/9/2018 15:00,4.519,136,,
342,11/9/2018 21:00,3.049,0,,
343,11/10/2018 3:00,0.453,0,,
344,11/10/2018 9:00,-0.102,20,,
345,11/10/2018 15:00,2.088,82,,
346,11/10/2018 21:00,0.01,0,,
347,11/11/2018 3:00,-0.437,0,,
348,11/11/2018 9:00,0.121,18,,
349,11/11/2018 15:00,3.367,94,,
350,11/11/2018 21:00,2.195,0,,
351,11/12/2018 3:00,1.764,0,,
352,11/12/2018 9:00,2.303,30,,
353,11/12/2018 15:00,7.28,117,,
354,11/12/2018 21:00,4.623,0,,
355,11/13/2018 3:00,5.347,0,,
356,11/13/2018 9:00,6.573,93,,
357,11/13/2018 15:00,10.553,240,,
358,11/13/2018 21:00,6.573,0,,
359,11/14/2018 3:00,5.037,0,,
360,11/14/2018 9:00,6.064,106,,
361,11/14/2018 15:00,7.481,168,,
362,11/14/2018 21:00,4.727,0,,
363,11/15/2018 3:00,4.519,0,,
364,11/15/2018 9:00,4.519,20,,
365,11/15/2018 15:00,6.877,71,,
366,11/15/2018 21:00,5.757,0,,
367,11/16/2018 3:00,5.86,0,,
368,11/16/2018 9:00,6.166,16,,
369,11/16/2018 15:00,8.182,66,,
370,11/16/2018 21:00,6.064,0,,
371,11/17/2018 3:00,2.73,0,,
372,11/17/2018 9:00,0.784,16,,
373,11/17/2018 15:00,3.998,72,,
