Plot Title: 10761025,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Bad Battery,End Of File
210,4/1/2019 3:00,0.232,0,,
211,4/1/2019 9:00,0.232,0,,
212,4/1/2019 15:00,0.232,0,,
213,4/1/2019 21:00,0.232,0,,
214,4/2/2019 3:00,0.232,0,,
215,4/2/2019 9:00,0.232,0,,
216,4/2/2019 15:00,0.232,0,,
217,4/2/2019 21:00,0.232,0,,
218,4/3/2019 3:00,0.232,0,,
219,4/3/2019 9:00,0.232,0,,
220,4/3/2019 15:00,0.232,0,,
221,4/3/2019 21:00,0.232,0,,
222,4/4/2019 3:00,0.232,0,,
223,4/4/2019 9:00,0.232,0,,
224,4/4/2019 15:00,0.232,0,,
225,4/4/2019 21:00,0.232,0,,
226,4/5/2019 3:00,0.232,0,,
227,4/5/2019 9:00,0.232,0,,
228,4/5/2019 15:00,0.232,0,,
229,4/5/2019 21:00,0.232,0,,
230,4/6/2019 3:00,0.232,0,,
231,4/6/2019 9:00,0.232,0,,
232,4/6/2019 15:00,0.232,0,,
233,4/6/2019 21:00,0.232,0,,
234,4/7/2019 3:00,0.232,0,,
235,4/7/2019 9:00,0.232,0,,
236,4/7/2019 15:00,0.232,0,,
237,4/7/2019 21:00,0.232,0,,
238,4/8/2019 3:00,0.232,0,,
239,4/8/2019 9:00,0.232,0,,
240,4/8/2019 15:00,0.232,0,,
241,4/8/2019 21:00,0.232,0,,
242,4/9/2019 3:00,0.232,0,,
243,4/9/2019 9:00,0.232,0,,
244,4/9/2019 15:00,0.232,0,,
245,4/9/2019 21:00,0.232,0,,
246,4/10/2019 3:00,0.232,0,,
247,4/10/2019 9:00,0.232,0,,
248,4/10/2019 15:00,0.232,0,,
249,4/10/2019 21:00,0.232,0,,
250,4/11/2019 3:00,0.232,0,,
251,4/11/2019 9:00,0.232,0,,
252,4/11/2019 15:00,0.232,0,,
253,4/11/2019 21:00,0.232,0,,
254,4/12/2019 3:00,0.232,0,,
255,4/12/2019 9:00,0.232,0,,
256,4/12/2019 15:00,0.232,0,,
257,4/12/2019 21:00,0.232,0,,
258,4/13/2019 3:00,0.232,0,,
259,4/13/2019 9:00,0.232,0,,
260,4/13/2019 15:00,0.232,0,,
261,4/13/2019 21:00,0.232,0,,
262,4/14/2019 3:00,0.232,0,,
263,4/14/2019 9:00,0.232,0,,
264,4/14/2019 15:00,0.232,0,,
265,4/14/2019 21:00,0.232,0,,
266,4/15/2019 3:00,0.232,0,,
267,4/15/2019 9:00,0.232,0,,
268,4/15/2019 15:00,0.232,0,,
269,4/15/2019 21:00,0.232,0,,
270,4/16/2019 3:00,0.232,0,,
271,4/16/2019 9:00,0.232,0,,
272,4/16/2019 15:00,0.232,0,,
273,4/16/2019 21:00,0.232,0,,
274,4/17/2019 3:00,0.232,0,,
275,4/17/2019 9:00,0.232,0,,
276,4/17/2019 15:00,0.232,0,,
277,4/17/2019 21:00,0.232,0,,
278,4/18/2019 3:00,0.232,0,,
279,4/18/2019 9:00,0.232,0,,
280,4/18/2019 15:00,0.232,0,,
281,4/18/2019 21:00,0.232,0,,
282,4/19/2019 3:00,0.232,0,,
283,4/19/2019 9:00,0.232,0,,
284,4/19/2019 15:00,0.232,0,,
285,4/19/2019 21:00,0.232,0,,
286,4/20/2019 3:00,0.232,4,,
287,4/20/2019 9:00,0.232,0,,
288,4/20/2019 15:00,0.232,0,,
289,4/20/2019 21:00,0.232,0,,
290,4/21/2019 3:00,0.232,0,,
291,4/21/2019 9:00,0.232,0,,
292,4/21/2019 15:00,0.232,0,,
293,4/21/2019 21:00,0.232,0,,
294,4/22/2019 3:00,0.232,2,,
295,4/22/2019 9:00,0.232,0,,
296,4/22/2019 15:00,0.232,0,,
297,4/22/2019 21:00,0.232,6,,
298,4/23/2019 3:00,0.232,14,,
299,4/23/2019 9:00,0.232,0,,
300,4/23/2019 15:00,0.232,0,,
301,4/23/2019 21:00,0.232,13,,
302,4/24/2019 3:00,0.232,49,,
303,4/24/2019 9:00,0.232,0,,
304,4/24/2019 15:00,0.232,0,,
305,4/24/2019 21:00,0.232,41,,
306,4/25/2019 3:00,0.232,77,,
307,4/25/2019 9:00,0.232,0,,
308,4/25/2019 15:00,2.624,0,,
309,4/25/2019 21:00,4.727,384,,
310,4/26/2019 3:00,10.455,512,,
311,4/26/2019 9:00,5.757,0,,
312,4/26/2019 15:00,4.519,0,,
313,4/26/2019 21:00,6.37,320,,
314,4/27/2019 3:00,13.461,672,,
315,4/27/2019 9:00,6.37,0,,
316,4/27/2019 15:00,4.311,0,,
317,4/27/2019 21:00,4.311,288,,
318,4/28/2019 3:00,9.965,480,,
319,4/28/2019 9:00,4.727,0,,
320,4/28/2019 15:00,2.837,0,,
321,4/28/2019 21:00,2.73,352,,
322,4/29/2019 3:00,7.179,576,,
323,4/29/2019 9:00,1.439,0,,
324,4/29/2019 15:00,-0.774,0,,
325,4/29/2019 21:00,0.343,288,,
326,4/30/2019 3:00,6.877,704,,
327,4/30/2019 9:00,2.624,0,,
328,4/30/2019 15:00,0.784,0,,
329,4/30/2019 21:00,1.872,288,,
330,5/1/2019 3:00,6.978,800,,
331,5/1/2019 9:00,3.049,0,,
332,5/1/2019 15:00,1.221,0,,
333,5/1/2019 21:00,2.517,288,,
334,5/2/2019 3:00,8.879,704,,
335,5/2/2019 9:00,3.683,0,,
336,5/2/2019 15:00,2.195,0,,
337,5/2/2019 21:00,4.102,288,,
338,5/3/2019 3:00,9.965,512,,
339,5/3/2019 9:00,4.102,0,,
340,5/3/2019 15:00,0.893,0,,
341,5/3/2019 21:00,1.98,304,,
342,5/4/2019 3:00,10.161,480,,
343,5/4/2019 9:00,5.141,0,,
344,5/4/2019 15:00,3.578,0,,
345,5/4/2019 21:00,5.552,288,,
346,5/5/2019 3:00,14.134,480,,
347,5/5/2019 9:00,7.782,0,,
348,5/5/2019 15:00,5.86,0,,
349,5/5/2019 21:00,7.682,304,,
350,5/6/2019 3:00,15.664,512,,
351,5/6/2019 9:00,9.768,0,,
352,5/6/2019 15:00,7.381,0,,
353,5/6/2019 21:00,8.581,336,,
354,5/7/2019 3:00,15.76,480,,
355,5/7/2019 9:00,8.879,0,,
356,5/7/2019 15:00,7.28,0,,
357,5/7/2019 21:00,10.357,304,,
358,5/8/2019 3:00,17.189,512,,
359,5/8/2019 9:00,11.334,0,,
360,5/8/2019 15:00,8.978,0,,
361,5/8/2019 21:00,9.275,304,,
362,5/9/2019 3:00,15.855,480,,
363,5/9/2019 9:00,9.472,0,,
364,5/9/2019 15:00,7.381,0,,
365,5/9/2019 21:00,9.866,448,,
366,5/10/2019 3:00,18.236,1024,,
367,5/10/2019 9:00,11.528,0,,
368,5/10/2019 15:00,9.866,0,,
369,5/10/2019 21:00,11.334,304,,
370,5/11/2019 3:00,16.427,512,,
371,5/11/2019 9:00,10.651,0,,
372,5/11/2019 15:00,8.879,0,,
373,5/11/2019 21:00,11.722,304,,
374,5/12/2019 3:00,20.424,480,,
375,5/12/2019 9:00,14.038,0,,
