"Plot Title: 10166295"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
139,06/28/17 03:00:00 AM,9.571,0.0,2.79,,,,,,
140,06/28/17 09:00:00 AM,11.722,368.0,2.77,,,,,,
141,06/28/17 03:00:00 PM,19.758,3200.0,2.81,,,,,,
142,06/28/17 09:00:00 PM,11.236,0.0,2.77,,,,,,
143,06/29/17 03:00:00 AM,9.373,0.0,2.77,,,,,,
144,06/29/17 09:00:00 AM,14.325,288.0,2.79,,,,,,
145,06/29/17 03:00:00 PM,24.255,3328.0,2.83,,,,,,
146,06/29/17 09:00:00 PM,15.187,0.0,2.79,,,,,,
147,06/30/17 03:00:00 AM,14.038,0.0,2.81,,,,,,
148,06/30/17 09:00:00 AM,18.901,288.0,2.83,,,,,,
149,06/30/17 03:00:00 PM,25.610,3200.0,2.83,,,,,,
150,06/30/17 09:00:00 PM,15.473,0.0,2.81,,,,,,
151,07/01/17 03:00:00 AM,13.654,0.0,2.81,,,,,,
152,07/01/17 09:00:00 AM,14.709,400.0,2.81,,,,,,
153,07/01/17 03:00:00 PM,21.378,184.0,2.81,,,,,,
154,07/01/17 09:00:00 PM,13.365,0.0,2.81,,,,,,
155,07/02/17 03:00:00 AM,12.013,0.0,2.79,,,,,,
156,07/02/17 09:00:00 AM,15.760,288.0,2.79,,,,,,
157,07/02/17 03:00:00 PM,24.545,2688.0,2.83,,,,,,
158,07/02/17 09:00:00 PM,14.996,0.0,2.81,,,,,,
159,07/03/17 03:00:00 AM,12.497,0.0,2.79,,,,,,
160,07/03/17 09:00:00 AM,15.951,288.0,2.79,,,,,,
161,07/03/17 03:00:00 PM,24.835,2688.0,2.83,,,,,,
162,07/03/17 09:00:00 PM,15.473,0.0,2.81,,,,,,
163,07/04/17 03:00:00 AM,14.517,0.0,2.81,,,,,,
164,07/04/17 09:00:00 AM,18.996,336.0,2.83,,,,,,
165,07/04/17 03:00:00 PM,26.097,2176.0,2.83,,,,,,
166,07/04/17 09:00:00 PM,17.855,0.0,2.83,,,,,,
167,07/05/17 03:00:00 AM,16.332,0.0,2.81,,,,,,
168,07/05/17 09:00:00 AM,22.333,272.0,2.81,,,,,,
169,07/05/17 03:00:00 PM,27.272,1984.0,2.85,,,,,,
170,07/05/17 09:00:00 PM,17.475,0.0,2.83,,,,,,
171,07/06/17 03:00:00 AM,16.141,0.0,2.81,,,,,,
172,07/06/17 09:00:00 AM,21.855,272.0,2.81,,,,,,
173,07/06/17 03:00:00 PM,28.953,2176.0,2.87,,,,,,
174,07/06/17 09:00:00 PM,19.282,0.0,2.83,,,,,,
175,07/07/17 03:00:00 AM,16.427,0.0,2.83,,,,,,
176,07/07/17 09:00:00 AM,18.140,272.0,2.83,,,,,,
177,07/07/17 03:00:00 PM,25.513,2048.0,2.83,,,,,,
178,07/07/17 09:00:00 PM,16.332,0.0,2.81,,,,,,
179,07/08/17 03:00:00 AM,15.091,0.0,2.81,,,,,,
180,07/08/17 09:00:00 AM,20.234,272.0,2.81,,,,,,
181,07/08/17 03:00:00 PM,27.370,2432.0,2.85,,,,,,
182,07/08/17 09:00:00 PM,16.618,0.0,2.83,,,,,,
183,07/09/17 03:00:00 AM,13.846,0.0,2.81,,,,,,
184,07/09/17 09:00:00 AM,16.808,272.0,2.81,,,,,,
185,07/09/17 03:00:00 PM,24.158,1984.0,2.83,,,,,,
186,07/09/17 09:00:00 PM,15.473,0.0,2.81,,,,,,
187,07/10/17 03:00:00 AM,13.365,0.0,2.81,,,,,,
188,07/10/17 09:00:00 AM,15.569,432.0,2.79,,,,,,
189,07/10/17 03:00:00 PM,20.519,1024.0,2.81,,,,,,
190,07/10/17 09:00:00 PM,12.401,0.0,2.79,,,,,,
191,07/11/17 03:00:00 AM,10.455,0.0,2.77,,,,,,
192,07/11/17 09:00:00 AM,13.846,272.0,2.79,,,,,,
193,07/11/17 03:00:00 PM,22.429,672.0,2.81,,,,,,
194,07/11/17 09:00:00 PM,14.421,0.0,2.81,,,,,,
195,07/12/17 03:00:00 AM,12.304,0.0,2.79,,,,,,
196,07/12/17 09:00:00 AM,15.664,272.0,2.79,,,,,,
197,07/12/17 03:00:00 PM,24.448,480.0,2.83,,,,,,
198,07/12/17 09:00:00 PM,15.760,0.0,2.81,,,,,,
199,07/13/17 03:00:00 AM,11.916,0.0,2.79,,,,,,
200,07/13/17 09:00:00 AM,14.804,288.0,2.81,,,,,,
201,07/13/17 03:00:00 PM,23.004,432.0,2.81,,,,,,
202,07/13/17 09:00:00 PM,14.709,0.0,2.81,,,,,,
203,07/14/17 03:00:00 AM,13.750,0.0,2.81,,,,,,
204,07/14/17 09:00:00 AM,17.855,272.0,2.81,,,,,,
205,07/14/17 03:00:00 PM,26.000,432.0,2.83,,,,,,
206,07/14/17 09:00:00 PM,16.808,0.0,2.81,,,,,,
207,07/15/17 03:00:00 AM,13.558,0.0,2.81,,,,,,
208,07/15/17 09:00:00 AM,15.951,272.0,2.81,,,,,,
209,07/15/17 03:00:00 PM,22.333,432.0,2.81,,,,,,
210,07/15/17 09:00:00 PM,13.558,0.0,2.81,,,,,,
211,07/16/17 03:00:00 AM,10.455,0.0,2.77,,,,,,
212,07/16/17 09:00:00 AM,13.076,304.0,2.79,,,,,,
213,07/16/17 03:00:00 PM,20.424,448.0,2.81,,,,,,
214,07/16/17 09:00:00 PM,12.497,0.0,2.79,,,,,,
215,07/17/17 03:00:00 AM,10.259,0.0,2.77,,,,,,
