"Plot Title: 10169140"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
170,07/06/17 09:00:00 PM,17.665,0.0,2.89,,,,
171,07/07/17 03:00:00 AM,15.187,0.0,2.87,,,,
172,07/07/17 09:00:00 AM,16.523,168.0,2.87,,,,
173,07/07/17 03:00:00 PM,19.567,70.0,2.91,,,,
174,07/07/17 09:00:00 PM,14.709,0.0,2.89,,,,
175,07/08/17 03:00:00 AM,13.076,0.0,2.87,,,,
176,07/08/17 09:00:00 AM,17.284,168.0,2.87,,,,
177,07/08/17 03:00:00 PM,21.855,70.0,2.89,,,,
178,07/08/17 09:00:00 PM,14.804,0.0,2.89,,,,
179,07/09/17 03:00:00 AM,12.497,0.0,2.85,,,,
180,07/09/17 09:00:00 AM,15.951,168.0,2.87,,,,
181,07/09/17 03:00:00 PM,19.377,67.0,2.89,,,,
182,07/09/17 09:00:00 PM,14.613,0.0,2.87,,,,
183,07/10/17 03:00:00 AM,12.690,0.0,2.85,,,,
184,07/10/17 09:00:00 AM,14.421,232.0,2.87,,,,
185,07/10/17 03:00:00 PM,17.189,144.0,2.87,,,,
186,07/10/17 09:00:00 PM,10.944,0.0,2.85,,,,
187,07/11/17 03:00:00 AM,9.176,0.0,2.85,,,,
188,07/11/17 09:00:00 AM,13.173,176.0,2.85,,,,
189,07/11/17 03:00:00 PM,18.140,70.0,2.87,,,,
190,07/11/17 09:00:00 PM,12.883,0.0,2.85,,,,
191,07/12/17 03:00:00 AM,10.651,0.0,2.85,,,,
192,07/12/17 09:00:00 AM,14.517,176.0,2.87,,,,
193,07/12/17 03:00:00 PM,19.187,70.0,2.89,,,,
194,07/12/17 09:00:00 PM,14.517,0.0,2.87,,,,
195,07/13/17 03:00:00 AM,11.431,0.0,2.85,,,,
196,07/13/17 09:00:00 AM,14.134,176.0,2.87,,,,
197,07/13/17 03:00:00 PM,17.950,70.0,2.87,,,,
198,07/13/17 09:00:00 PM,13.461,0.0,2.87,,,,
199,07/14/17 03:00:00 AM,12.110,0.0,2.85,,,,
200,07/14/17 09:00:00 AM,16.141,176.0,2.85,,,,
201,07/14/17 03:00:00 PM,20.615,69.0,2.89,,,,
202,07/14/17 09:00:00 PM,15.569,0.0,2.87,,,,
203,07/15/17 03:00:00 AM,12.594,0.0,2.85,,,,
204,07/15/17 09:00:00 AM,15.187,176.0,2.85,,,,
205,07/15/17 03:00:00 PM,18.521,70.0,2.89,,,,
206,07/15/17 09:00:00 PM,12.594,0.0,2.85,,,,
207,07/16/17 03:00:00 AM,9.965,0.0,2.85,,,,
208,07/16/17 09:00:00 AM,12.883,184.0,2.85,,,,
209,07/16/17 03:00:00 PM,16.332,73.0,2.87,,,,
210,07/16/17 09:00:00 PM,10.944,0.0,2.85,,,,
211,07/17/17 03:00:00 AM,8.879,0.0,2.85,,,,
212,07/17/17 09:00:00 AM,12.883,184.0,2.85,,,,
213,07/17/17 03:00:00 PM,17.570,72.0,2.87,,,,
214,07/17/17 09:00:00 PM,12.207,0.0,2.85,,,,
215,07/18/17 03:00:00 AM,10.748,0.0,2.85,,,,
216,07/18/17 09:00:00 AM,14.709,184.0,2.87,,,,
217,07/18/17 03:00:00 PM,18.426,72.0,2.89,,,,
218,07/18/17 09:00:00 PM,12.787,0.0,2.85,,,,
219,07/19/17 03:00:00 AM,10.259,0.0,2.85,,,,
220,07/19/17 09:00:00 AM,13.846,184.0,2.85,,,,
