"Plot Title: 10760650"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Coupler Attached","Stopped","End Of File"
326,08/12/17 09:00:00 AM,16.332,152.0,,,
327,08/12/17 03:00:00 PM,23.484,960.0,,,
328,08/12/17 09:00:00 PM,15.664,0.0,,,
329,08/13/17 03:00:00 AM,13.076,0.0,,,
330,08/13/17 09:00:00 AM,11.041,144.0,,,
331,08/13/17 03:00:00 PM,13.846,216.0,,,
332,08/13/17 09:00:00 PM,11.916,0.0,,,
333,08/14/17 03:00:00 AM,9.965,0.0,,,
334,08/14/17 09:00:00 AM,9.866,168.0,,,
335,08/14/17 03:00:00 PM,18.236,368.0,,,
336,08/14/17 09:00:00 PM,12.690,0.0,,,
337,08/15/17 03:00:00 AM,11.041,0.0,,,
338,08/15/17 09:00:00 AM,12.013,192.0,,,
339,08/15/17 03:00:00 PM,17.284,336.0,,,
340,08/15/17 09:00:00 PM,14.421,0.0,,,
341,08/16/17 03:00:00 AM,12.980,0.0,,,
342,08/16/17 09:00:00 AM,13.269,176.0,,,
343,08/16/17 03:00:00 PM,22.717,368.0,,,
344,08/16/17 09:00:00 PM,16.523,0.0,,,
345,08/17/17 03:00:00 AM,13.942,0.0,,,
346,08/17/17 09:00:00 AM,14.134,176.0,,,
347,08/17/17 03:00:00 PM,22.908,368.0,,,
348,08/17/17 09:00:00 PM,17.284,0.0,,,
349,08/18/17 03:00:00 AM,14.900,0.0,,,
350,08/18/17 09:00:00 AM,15.187,184.0,,,
351,08/18/17 03:00:00 PM,24.158,336.0,,,
352,08/18/17 09:00:00 PM,16.332,0.0,,,
353,08/19/17 03:00:00 AM,13.750,0.0,,,
354,08/19/17 09:00:00 AM,12.401,160.0,,,
355,08/19/17 03:00:00 PM,22.238,352.0,,,
356,08/19/17 09:00:00 PM,15.282,0.0,,,
357,08/20/17 03:00:00 AM,12.883,0.0,,,
358,08/20/17 09:00:00 AM,12.690,144.0,,,
359,08/20/17 03:00:00 PM,23.196,352.0,,,
360,08/20/17 09:00:00 PM,16.713,0.0,,,
361,08/21/17 03:00:00 AM,15.282,0.0,,,
362,08/21/17 09:00:00 AM,17.094,144.0,,,
363,08/21/17 03:00:00 PM,24.545,368.0,,,
364,08/21/17 09:00:00 PM,19.853,0.0,,,
365,08/22/17 03:00:00 AM,16.618,0.0,,,
366,08/22/17 09:00:00 AM,17.189,160.0,,,
367,08/22/17 03:00:00 PM,23.100,384.0,,,
368,08/22/17 09:00:00 PM,17.379,0.0,,,
369,08/23/17 03:00:00 AM,15.951,0.0,,,
370,08/23/17 09:00:00 AM,16.903,144.0,,,
371,08/23/17 03:00:00 PM,21.855,400.0,,,
372,08/23/17 09:00:00 PM,15.951,0.0,,,
373,08/24/17 03:00:00 AM,13.461,0.0,,,
374,08/24/17 09:00:00 AM,12.980,144.0,,,
375,08/24/17 03:00:00 PM,18.140,320.0,,,
376,08/24/17 09:00:00 PM,12.787,0.0,,,
377,08/25/17 03:00:00 AM,10.944,0.0,,,
378,08/25/17 09:00:00 AM,10.846,115.0,,,
379,08/25/17 03:00:00 PM,20.615,416.0,,,
380,08/25/17 09:00:00 PM,15.855,0.0,,,
381,08/26/17 03:00:00 AM,14.517,0.0,,,
382,08/26/17 09:00:00 AM,15.951,100.0,,,
383,08/26/17 03:00:00 PM,25.222,512.0,,,
384,08/26/17 09:00:00 PM,21.282,0.0,,,
385,08/27/17 03:00:00 AM,19.948,0.0,,,
386,08/27/17 09:00:00 AM,21.473,128.0,,,
387,08/27/17 03:00:00 PM,28.555,704.0,,,
388,08/27/17 09:00:00 PM,22.908,0.0,,,
389,08/28/17 03:00:00 AM,21.569,0.0,,,
390,08/28/17 09:00:00 AM,22.142,128.0,,,
391,08/28/17 03:00:00 PM,29.552,480.0,,,
392,08/28/17 09:00:00 PM,22.908,0.0,,,
393,08/29/17 03:00:00 AM,21.187,0.0,,,
394,08/29/17 09:00:00 AM,21.378,128.0,,,
395,08/29/17 03:00:00 PM,25.902,400.0,,,
396,08/29/17 09:00:00 PM,19.377,0.0,,,
397,08/30/17 03:00:00 AM,16.141,0.0,,,
398,08/30/17 09:00:00 AM,15.091,128.0,,,
399,08/30/17 03:00:00 PM,22.142,352.0,,,
400,08/30/17 09:00:00 PM,14.709,0.0,,,
401,08/31/17 03:00:00 AM,13.461,0.0,,,
402,08/31/17 09:00:00 AM,14.038,67.0,,,
403,08/31/17 03:00:00 PM,24.738,304.0,,,
404,08/31/17 09:00:00 PM,18.806,0.0,,,
405,09/01/17 03:00:00 AM,17.950,0.0,,,
406,09/01/17 09:00:00 AM,19.567,88.0,,,
407,09/01/17 03:00:00 PM,28.357,800.0,,,
408,09/01/17 09:00:00 PM,23.677,0.0,,,
409,09/02/17 03:00:00 AM,22.812,0.0,,,
410,09/02/17 09:00:00 AM,23.292,125.0,,,
411,09/02/17 03:00:00 PM,31.778,2048.0,,,
412,09/02/17 09:00:00 PM,24.641,0.0,,,
413,09/03/17 03:00:00 AM,23.100,0.0,,,
414,09/03/17 09:00:00 AM,23.773,128.0,,,
415,09/03/17 03:00:00 PM,30.963,512.0,,,
416,09/03/17 09:00:00 PM,22.908,0.0,,,
417,09/04/17 03:00:00 AM,21.569,0.0,,,
418,09/04/17 09:00:00 AM,23.196,114.0,,,
419,09/04/17 03:00:00 PM,28.953,416.0,,,
420,09/04/17 09:00:00 PM,25.319,0.0,,,
421,09/05/17 03:00:00 AM,23.869,0.0,,,
422,09/05/17 09:00:00 AM,22.621,128.0,,,
423,09/05/17 03:00:00 PM,29.152,448.0,,,
424,09/05/17 09:00:00 PM,20.043,0.0,,,
425,09/06/17 03:00:00 AM,18.045,0.0,,,
