"Plot Title: 10169147"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Good Battery","Coupler Attached","Stopped","End Of File"
287,08/03/17 03:00:00 AM,22.046,0.0,2.91,,,,,
288,08/03/17 09:00:00 AM,22.908,136.0,2.91,,,,,
289,08/03/17 03:00:00 PM,31.166,400.0,2.93,,,,,
290,08/03/17 09:00:00 PM,22.908,0.0,2.93,,,,,
291,08/04/17 03:00:00 AM,20.424,0.0,2.91,,,,,
292,08/04/17 09:00:00 AM,20.519,144.0,2.91,,,,,
293,08/04/17 03:00:00 PM,27.468,400.0,2.93,,,,,
294,08/04/17 09:00:00 PM,20.329,0.0,2.91,,,,,
295,08/05/17 03:00:00 AM,17.855,0.0,2.89,,,,,
296,08/05/17 09:00:00 AM,17.475,128.0,2.89,,,,,
297,08/05/17 03:00:00 PM,24.351,448.0,2.93,,,,,
298,08/05/17 09:00:00 PM,18.996,0.0,2.91,,,,,
299,08/06/17 03:00:00 AM,17.475,0.0,2.89,,,,,
300,08/06/17 09:00:00 AM,19.758,232.0,2.89,,,,,
301,08/06/17 03:00:00 PM,23.388,336.0,2.91,,,,,
302,08/06/17 09:00:00 PM,19.282,0.0,2.91,,,,,
303,08/07/17 03:00:00 AM,18.045,0.0,2.89,,,,,
304,08/07/17 09:00:00 AM,19.472,160.0,2.91,,,,,
305,08/07/17 03:00:00 PM,27.075,384.0,2.91,,,,,
306,08/07/17 09:00:00 PM,20.615,0.0,2.89,,,,,
307,08/08/17 03:00:00 AM,18.521,0.0,2.89,,,,,
308,08/08/17 09:00:00 AM,20.424,144.0,2.89,,,,,
309,08/08/17 03:00:00 PM,27.862,384.0,2.93,,,,,
310,08/08/17 09:00:00 PM,21.282,0.0,2.91,,,,,
311,08/09/17 03:00:00 AM,19.092,0.0,2.91,,,,,
312,08/09/17 09:00:00 AM,19.472,136.0,2.91,,,,,
313,08/09/17 03:00:00 PM,27.567,384.0,2.93,,,,,
314,08/09/17 09:00:00 PM,20.710,0.0,2.91,,,,,
315,08/10/17 03:00:00 AM,18.996,0.0,2.91,,,,,
316,08/10/17 09:00:00 AM,19.853,144.0,2.89,,,,,
317,08/10/17 03:00:00 PM,22.525,65.0,2.91,,,,,
318,08/10/17 09:00:00 PM,20.901,0.0,2.89,,,,,
319,08/11/17 03:00:00 AM,18.806,0.0,2.91,,,,,
320,08/11/17 09:00:00 AM,19.282,128.0,2.91,,,,,
321,08/11/17 03:00:00 PM,25.805,384.0,2.91,,,,,
322,08/11/17 09:00:00 PM,19.187,0.0,2.91,,,,,
