"Plot Title: 10166323"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Bad Battery","Coupler Attached","Stopped","End Of File"
210,09/20/17 03:00:00 AM,5.757,0.0,,,,
211,09/20/17 09:00:00 AM,1.980,32.0,,,,
212,09/20/17 03:00:00 PM,0.343,216.0,,,,
213,09/20/17 09:00:00 PM,0.232,0.0,,,,
214,09/21/17 03:00:00 AM,0.343,0.0,,,,
215,09/21/17 09:00:00 AM,1.764,192.0,,,,
216,09/21/17 03:00:00 PM,4.831,400.0,,,,
217,09/21/17 09:00:00 PM,2.837,0.0,,,,
218,09/22/17 03:00:00 AM,1.439,0.0,,,,
219,09/22/17 09:00:00 AM,1.656,108.0,,,,
220,09/22/17 03:00:00 PM,7.983,256.0,,,,
221,09/22/17 09:00:00 PM,4.207,0.0,,,,
222,09/23/17 03:00:00 AM,2.624,0.0,,,,
223,09/23/17 09:00:00 AM,5.141,320.0,,,,
224,09/23/17 03:00:00 PM,9.077,320.0,,,,
225,09/23/17 09:00:00 PM,5.552,0.0,,,,
226,09/24/17 03:00:00 AM,4.519,0.0,,,,
227,09/24/17 09:00:00 AM,5.141,117.0,,,,
228,09/24/17 03:00:00 PM,10.651,304.0,,,,
229,09/24/17 09:00:00 PM,7.481,0.0,,,,
230,09/25/17 03:00:00 AM,6.674,0.0,,,,
231,09/25/17 09:00:00 AM,8.581,240.0,,,,
232,09/25/17 03:00:00 PM,13.365,512.0,,,,
233,09/25/17 09:00:00 PM,9.472,0.0,,,,
234,09/26/17 03:00:00 AM,7.079,0.0,,,,
235,09/26/17 09:00:00 AM,7.983,101.0,,,,
236,09/26/17 03:00:00 PM,13.173,144.0,,,,
237,09/26/17 09:00:00 PM,9.768,0.0,,,,
238,09/27/17 03:00:00 AM,9.077,0.0,,,,
239,09/27/17 09:00:00 AM,9.275,116.0,,,,
240,09/27/17 03:00:00 PM,13.750,144.0,,,,
241,09/27/17 09:00:00 PM,10.748,0.0,,,,
242,09/28/17 03:00:00 AM,10.063,0.0,,,,
243,09/28/17 09:00:00 AM,10.161,122.0,,,,
244,09/28/17 03:00:00 PM,14.996,136.0,,,,
245,09/28/17 09:00:00 PM,11.625,0.0,,,,
