Plot Title: 10166292,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
228,11/1/2020 14:16,10.455,1151.7,2.75,,,,
229,11/1/2020 20:16,8.581,0,2.75,,,,
230,11/2/2020 2:16,8.481,0,2.75,,,,
231,11/2/2020 8:16,8.581,742.7,2.75,,,,
232,11/2/2020 14:16,10.553,1162.5,2.75,,,,
233,11/2/2020 20:16,8.282,10.8,2.75,,,,
234,11/3/2020 2:16,7.682,10.8,2.75,,,,
235,11/3/2020 8:16,8.182,3100,2.75,,,,
236,11/3/2020 14:16,9.965,3100,2.75,,,,
237,11/3/2020 20:16,8.779,10.8,2.77,,,,
238,11/4/2020 2:16,8.68,10.8,2.77,,,,
239,11/4/2020 8:16,8.282,818.1,2.77,,,,
240,11/4/2020 14:16,11.916,1722.2,2.77,,,,
241,11/4/2020 20:16,8.382,21.5,2.77,,,,
242,11/5/2020 2:16,9.176,21.5,2.77,,,,
243,11/5/2020 8:16,8.978,1636.1,2.77,,,,
244,11/5/2020 14:16,9.275,645.8,2.77,,,,
245,11/5/2020 20:16,7.179,21.5,2.75,,,,
246,11/6/2020 2:16,0.674,10.8,2.72,,,,
247,11/6/2020 8:16,0.784,839.6,2.72,,,,
248,11/6/2020 14:16,0.674,1980.6,2.72,,,,
249,11/6/2020 20:16,0.674,10.8,2.72,,,,
250,11/7/2020 2:16,0.784,10.8,2.72,,,,
251,11/7/2020 8:16,0.674,1033.3,2.72,,,,
252,11/7/2020 14:16,0.674,624.3,2.7,,,,
253,11/7/2020 20:16,0.674,10.8,2.7,,,,
254,11/8/2020 2:16,0.563,10.8,2.7,,,,
255,11/8/2020 8:16,0.674,21.5,2.7,,,,
256,11/8/2020 14:16,0.784,43.1,2.7,,,,
257,11/8/2020 20:16,0.453,10.8,2.7,,,,
258,11/9/2020 2:16,0.121,10.8,2.7,,,,
259,11/9/2020 8:16,0.343,10.8,2.7,,,,
260,11/9/2020 14:16,0.674,43.1,2.7,,,,
261,11/9/2020 20:16,0.784,10.8,2.7,,,,
262,11/10/2020 2:16,0.784,10.8,2.7,,,,
263,11/10/2020 8:16,0.784,10.8,2.7,,,,
264,11/10/2020 14:16,0.784,10.8,2.7,,,,
265,11/10/2020 20:16,0.784,10.8,2.7,,,,
266,11/11/2020 2:16,0.784,10.8,2.7,,,,
267,11/11/2020 8:16,0.784,10.8,2.7,,,,
268,11/11/2020 14:16,0.784,10.8,2.7,,,,
269,11/11/2020 20:16,0.893,10.8,2.7,,,,
270,11/12/2020 2:16,0.893,10.8,2.7,,,,
271,11/12/2020 8:16,0.893,10.8,2.7,,,,
272,11/12/2020 14:16,0.893,10.8,2.7,,,,
273,11/12/2020 20:16,0.893,10.8,2.7,,,,
274,11/13/2020 2:16,1.003,0,2.7,,,,
275,11/13/2020 8:16,0.784,10.8,2.7,,,,
276,11/13/2020 14:16,0.784,10.8,2.7,,,,
277,11/13/2020 20:16,0.784,10.8,2.7,,,,
278,11/14/2020 2:16,0.784,10.8,2.7,,,,
279,11/14/2020 8:16,0.784,10.8,2.7,,,,
280,11/14/2020 14:16,0.784,10.8,2.7,,,,
281,11/14/2020 20:16,0.893,10.8,2.7,,,,
282,11/15/2020 2:16,0.784,10.8,2.7,,,,
283,11/15/2020 8:16,0.784,10.8,2.7,,,,
284,11/15/2020 14:16,0.784,10.8,2.7,,,,
285,11/15/2020 20:16,0.784,10.8,2.7,,,,
286,11/16/2020 2:16,0.784,10.8,2.7,,,,
287,11/16/2020 8:16,0.784,10.8,2.7,,,,
288,11/16/2020 14:16,0.784,10.8,2.7,,,,
289,11/16/2020 20:16,0.784,10.8,2.7,,,,
290,11/17/2020 2:16,0.784,10.8,2.7,,,,
291,11/17/2020 8:16,0.784,10.8,2.7,,,,
292,11/17/2020 14:16,0.784,10.8,2.7,,,,
293,11/17/2020 20:16,0.784,10.8,2.7,,,,
294,11/18/2020 2:16,0.784,10.8,2.7,,,,
295,11/18/2020 8:16,0.784,10.8,2.7,,,,
296,11/18/2020 14:16,0.784,10.8,2.7,,,,
297,11/18/2020 20:16,0.784,10.8,2.7,,,,
298,11/19/2020 2:16,0.784,10.8,2.7,,,,
299,11/19/2020 8:16,0.784,10.8,2.7,,,,
300,11/19/2020 14:16,0.784,10.8,2.7,,,,
301,11/19/2020 20:16,0.784,10.8,2.7,,,,
302,11/20/2020 2:16,0.784,10.8,2.7,,,,
303,11/20/2020 8:16,0.784,10.8,2.7,,,,
304,11/20/2020 14:16,0.784,21.5,2.72,,,,
305,11/20/2020 20:16,0.784,10.8,2.72,,,,
306,11/21/2020 2:16,0.784,10.8,2.72,,,,
307,11/21/2020 8:16,0.784,10.8,2.72,,,,
308,11/21/2020 14:16,0.784,21.5,2.72,,,,
309,11/21/2020 20:16,0.784,21.5,2.72,,,,
310,11/22/2020 2:16,0.784,10.8,2.72,,,,
311,11/22/2020 8:16,0.784,21.5,2.72,,,,
312,11/22/2020 14:16,0.784,21.5,2.72,,,,
313,11/22/2020 20:16,0.784,10.8,2.72,,,,
314,11/23/2020 2:16,0.893,21.5,2.72,,,,
315,11/23/2020 8:16,0.784,21.5,2.72,,,,
316,11/23/2020 14:16,0.893,21.5,2.72,,,,
317,11/23/2020 20:16,0.893,21.5,2.72,,,,
318,11/24/2020 2:16,0.893,10.8,2.72,,,,
319,11/24/2020 8:16,0.893,21.5,2.72,,,,
320,11/24/2020 14:16,0.893,21.5,2.72,,,,
321,11/24/2020 20:16,0.893,21.5,2.72,,,,
322,11/25/2020 2:16,0.893,21.5,2.72,,,,
323,11/25/2020 8:16,0.893,10.8,2.72,,,,
324,11/25/2020 14:16,0.893,21.5,2.72,,,,
325,11/25/2020 20:16,0.893,21.5,2.72,,,,
326,11/26/2020 2:16,0.893,10.8,2.72,,,,
327,11/26/2020 8:16,0.784,21.5,2.72,,,,
328,11/26/2020 14:16,0.893,21.5,2.72,,,,
329,11/26/2020 20:16,0.893,21.5,2.72,,,,
330,11/27/2020 2:16,0.893,21.5,2.72,,,,
331,11/27/2020 8:16,0.893,21.5,2.72,,,,
332,11/27/2020 14:16,0.893,21.5,2.72,,,,
333,11/27/2020 20:16,0.893,21.5,2.72,,,,
334,11/28/2020 2:16,0.893,21.5,2.72,,,,
335,11/28/2020 8:16,0.893,21.5,2.72,,,,
336,11/28/2020 14:16,0.893,21.5,2.72,,,,
337,11/28/2020 20:16,0.893,21.5,2.72,,,,
338,11/29/2020 2:16,0.893,21.5,2.72,,,,
339,11/29/2020 8:16,0.893,21.5,2.72,,,,
340,11/29/2020 14:16,0.893,21.5,2.72,,,,
341,11/29/2020 20:16,0.893,21.5,2.72,,,,
342,11/30/2020 2:16,0.893,21.5,2.72,,,,
343,11/30/2020 8:16,0.893,10.8,2.72,,,,
344,11/30/2020 14:16,0.893,21.5,2.72,,,,
345,11/30/2020 20:16,0.893,21.5,2.72,,,,
346,12/1/2020 2:16,0.893,21.5,2.72,,,,
347,12/1/2020 8:16,0.893,10.8,2.72,,,,
348,12/1/2020 14:16,0.893,21.5,2.72,,,,
349,12/1/2020 20:16,0.893,21.5,2.72,,,,
350,12/2/2020 2:16,0.893,21.5,2.72,,,,
351,12/2/2020 8:16,0.893,21.5,2.72,,,,
352,12/2/2020 14:16,0.893,21.5,2.72,,,,
353,12/2/2020 20:16,0.893,21.5,2.72,,,,
354,12/3/2020 2:16,0.893,21.5,2.72,,,,
355,12/3/2020 8:16,0.893,21.5,2.72,,,,
356,12/3/2020 14:16,0.893,21.5,2.72,,,,
357,12/3/2020 20:16,0.893,21.5,2.72,,,,
358,12/4/2020 2:16,0.893,21.5,2.72,,,,
359,12/4/2020 8:16,0.893,21.5,2.72,,,,
360,12/4/2020 14:16,0.893,21.5,2.72,,,,
361,12/4/2020 20:16,0.893,21.5,2.72,,,,
362,12/5/2020 2:16,0.893,21.5,2.72,,,,
363,12/5/2020 8:16,0.893,21.5,2.72,,,,
364,12/5/2020 14:16,0.893,21.5,2.72,,,,
365,12/5/2020 20:16,0.893,21.5,2.72,,,,
366,12/6/2020 2:16,0.893,21.5,2.72,,,,
367,12/6/2020 8:16,0.893,21.5,2.72,,,,
368,12/6/2020 14:16,0.893,21.5,2.72,,,,
369,12/6/2020 20:16,0.893,21.5,2.72,,,,
370,12/7/2020 2:16,0.893,21.5,2.72,,,,
371,12/7/2020 8:16,0.893,21.5,2.72,,,,
372,12/7/2020 14:16,0.893,21.5,2.72,,,,
373,12/7/2020 20:16,0.893,21.5,2.72,,,,
374,12/8/2020 2:16,0.893,21.5,2.72,,,,
375,12/8/2020 8:16,0.893,21.5,2.72,,,,
376,12/8/2020 14:16,0.893,21.5,2.72,,,,
377,12/8/2020 20:16,0.893,21.5,2.74,,,,
378,12/9/2020 2:16,0.893,21.5,2.72,,,,
379,12/9/2020 8:16,0.784,21.5,2.72,,,,
380,12/9/2020 14:16,0.784,21.5,2.72,,,,
381,12/9/2020 20:16,0.893,21.5,2.74,,,,
382,12/10/2020 2:16,0.893,21.5,2.74,,,,
383,12/10/2020 8:16,0.893,21.5,2.74,,,,
384,12/10/2020 14:16,0.893,21.5,2.74,,,,
385,12/10/2020 20:16,0.893,21.5,2.74,,,,
386,12/11/2020 2:16,0.893,21.5,2.74,,,,
387,12/11/2020 8:16,0.893,21.5,2.74,,,,
388,12/11/2020 14:16,0.893,21.5,2.74,,,,
389,12/11/2020 20:16,0.893,21.5,2.74,,,,
390,12/12/2020 2:16,0.893,21.5,2.74,,,,
391,12/12/2020 8:16,0.893,21.5,2.74,,,,
392,12/12/2020 14:16,0.893,21.5,2.74,,,,
393,12/12/2020 20:16,0.893,21.5,2.74,,,,
394,12/13/2020 2:16,0.893,21.5,2.74,,,,
395,12/13/2020 8:16,0.893,21.5,2.74,,,,
396,12/13/2020 14:16,0.893,21.5,2.74,,,,
397,12/13/2020 20:16,0.893,21.5,2.74,,,,
398,12/14/2020 2:16,0.893,21.5,2.74,,,,
399,12/14/2020 8:16,0.893,21.5,2.74,,,,
400,12/14/2020 14:16,0.893,21.5,2.74,,,,
401,12/14/2020 20:16,0.893,21.5,2.74,,,,
402,12/15/2020 2:16,0.893,21.5,2.74,,,,
403,12/15/2020 8:16,0.893,21.5,2.74,,,,
404,12/15/2020 14:16,0.893,21.5,2.74,,,,
405,12/15/2020 20:16,0.893,21.5,2.74,,,,
406,12/16/2020 2:16,0.893,21.5,2.74,,,,
407,12/16/2020 8:16,0.893,21.5,2.74,,,,
408,12/16/2020 14:16,0.893,21.5,2.74,,,,
409,12/16/2020 20:16,0.893,21.5,2.74,,,,
410,12/17/2020 2:16,0.893,21.5,2.74,,,,
411,12/17/2020 8:16,0.893,21.5,2.74,,,,
412,12/17/2020 14:16,0.893,21.5,2.74,,,,
413,12/17/2020 20:16,0.893,21.5,2.74,,,,
414,12/18/2020 2:16,0.893,21.5,2.74,,,,
415,12/18/2020 8:16,0.893,21.5,2.74,,,,
416,12/18/2020 14:16,0.893,21.5,2.74,,,,
417,12/18/2020 20:16,0.893,21.5,2.74,,,,
418,12/19/2020 2:16,0.893,21.5,2.74,,,,
419,12/19/2020 8:16,0.784,21.5,2.74,,,,
420,12/19/2020 14:16,0.784,21.5,2.74,,,,
421,12/19/2020 20:16,0.784,21.5,2.74,,,,
422,12/20/2020 2:16,0.784,21.5,2.74,,,,
